Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
data_obs,739815296.000000,1.000000,41521.000000,1.000000,739815296.000000,738897664.000000,479948384.000000,328534048.000000,2926292.000000,435747.750000,435699.937500,428733.562500,377702.000000,246390.281250,34475.925781,25203.185547
DY_LO,48281216.000000,5765.400000,41521.000000,4.958143,48281216.000000,48240400.000000,9753126.000000,8727205.000000,71515.000000,9750.460938,9749.965820,9590.300781,8969.981445,3922.396973,663.674316,486.308258
DY_LO,49082156.000000,5765.400000,41521.000000,4.877234,49082156.000000,49038832.000000,9918775.000000,8876278.000000,72805.000000,9949.452148,9948.777344,9788.236328,9151.008789,4003.158203,663.944641,485.740143
TTTo2L2Nu,8634992.000000,88.290000,41521.000000,0.424539,8634992.000000,8625480.000000,3177574.000000,2863761.000000,157054.000000,25874.482422,25874.029297,19552.876953,3336.063965,2567.712891,1240.471436,827.777954
TTToHadronic,42357944.000000,377.960000,41521.000000,0.370492,42357944.000000,42296216.000000,59274.000000,13502.000000,1053.000000,122.701286,122.531502,119.862335,22.208633,6.516442,3.233646,3.233646
TTToSemiLeptonic,40888764.000000,365.350000,41521.000000,0.370999,40888764.000000,40836304.000000,8293577.000000,7292744.000000,428285.000000,62712.320312,62712.320312,61567.718750,10017.919922,6579.057129,2970.374512,2245.845215
ZTTinc,49082156.000000,5765.400000,41521.000000,4.877000,49082156.000000,49038832.000000,9918775.000000,8876278.000000,72805.000000,9949.452148,9948.777344,9788.236328,9151.008789,4003.158203,663.944641,485.740143
ZTT1jet,34833032.000000,1178.334174,41521.000000,1.090000,34833032.000000,34804832.000000,8376501.000000,7743240.000000,111971.000000,14170.626953,14170.626953,13966.483398,13252.935547,5916.391602,400.086060,313.690033
ZTT2jet,9691457.000000,387.308260,41521.000000,1.230000,9691457.000000,9682264.000000,2447029.000000,2287712.000000,55165.000000,6755.183105,6755.183105,6643.339355,6132.083008,2951.207275,742.540405,553.515869
ZTT3jet,1147725.000000,118.473500,41521.000000,2.280000,1147725.000000,1146359.000000,297138.000000,279635.000000,8235.000000,1019.971313,1019.971313,1004.119629,885.243286,437.507996,179.476807,121.996567
