Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
data_obs,460739904.000000,1.000000,41521.000000,1.000000,460739904.000000,460567168.000000,256035616.000000,101792096.000000,234254.000000,234114.000000,232322.000000,196109.000000,126885.000000,26364.000000,19164.000000,1474.000000
DY_LO,48281216.000000,5765.400000,41521.000000,4.958143,48281216.000000,48240400.000000,6909067.000000,4268562.000000,7825.648438,7825.648438,7808.907227,7270.742188,3039.091553,625.382935,507.593323,25.225452
DY_LO,49082156.000000,5765.400000,41521.000000,4.877234,49082156.000000,49038832.000000,7038352.000000,4352477.000000,7945.466797,7945.466797,7923.064941,7415.540527,3066.856445,610.955444,508.065613,23.505024
TTTo2L2Nu,8634992.000000,88.290000,41521.000000,0.424539,8634992.000000,8625480.000000,2413126.000000,1828318.000000,53405.562500,53404.761719,51272.488281,9147.972656,7359.535645,3911.626465,2202.895020,563.405823
TTToHadronic,42357944.000000,377.960000,41521.000000,0.370492,42357944.000000,42296216.000000,21328.000000,3915.000000,18.204159,18.204159,17.378586,5.507523,2.571170,2.571170,0.848283,0.000000
TTToSemiLeptonic,40888764.000000,365.350000,41521.000000,0.370999,40888764.000000,40836304.000000,6133485.000000,4492183.000000,23102.154297,23102.154297,22775.964844,3759.321777,2540.002686,1418.419434,1050.148560,138.573425
ZTTinc,48281216.000000,6709.696641,41521.000000,2.456509,48281216.000000,48240400.000000,6909067.000000,4268562.000000,7825.648438,7825.648438,7808.907227,7270.742188,3039.091553,625.382935,507.593323,25.225452
ZTTinc,49082156.000000,6709.696641,41521.000000,2.456509,49082156.000000,49038832.000000,7038352.000000,4352477.000000,7945.466797,7945.466797,7923.064941,7415.540527,3066.856445,610.955444,508.065613,23.505024
ZTT1jet,34833032.000000,1178.334174,41521.000000,0.893174,34833032.000000,34804832.000000,6481862.000000,4445469.000000,10941.624023,10941.624023,10907.475586,10253.970703,4117.571777,485.660767,420.160736,15.179854
ZTT2jet,9691457.000000,387.308260,41521.000000,0.989794,9691457.000000,9682264.000000,1976665.000000,1413698.000000,5090.882324,5090.882324,5069.711914,4609.469238,1927.593018,654.756958,549.605652,16.888943
ZTT3jet,1147725.000000,118.473500,41521.000000,1.560452,1147725.000000,1146359.000000,248906.000000,182237.000000,832.082642,832.082642,829.750610,732.421875,287.410339,153.108719,124.310890,9.581525
ZTT4jet,4336026.000000,63.775519,41521.000000,0.487844,4336026.000000,4327771.000000,1056415.000000,783182.000000,3728.470215,3728.470215,3706.578857,3114.056152,1344.937622,917.451782,719.334229,59.541859
EWKWMinus2Jets,4375628.000000,20.250000,41521.000000,0.192155,4375628.000000,4369211.000000,720288.000000,507583.000000,1747.396606,1747.396606,1744.200562,1550.759277,1113.843140,466.416199,307.579071,12.738322
EWKWPlus2Jets,4354695.000000,25.620000,41521.000000,0.244281,4354695.000000,4347862.000000,670893.000000,474135.000000,1395.678223,1395.678223,1393.377075,1226.384766,888.821045,342.319763,229.713898,21.711664
EWKZ2Jets_ZToLL,951316.000000,3.987000,41521.000000,0.174016,951316.000000,949653.000000,260218.000000,208076.000000,1300.317505,1300.317505,1293.949707,1140.508057,454.470520,265.861877,198.900787,24.210976
EWKZ2Jets_ZToNuNu,2943056.000000,10.010000,41521.000000,0.141222,2943056.000000,2939465.000000,765.000000,149.000000,0.813804,0.813804,0.813804,0.813804,0.813804,0.813804,0.000000,0.000000
GluGluHToTauTau,2862720.000000,2.767578,41521.000000,0.040141,2862720.000000,2859674.000000,108243.000000,63110.000000,7468.821289,7468.007812,7439.276367,7003.650391,2419.237061,411.832153,407.927216,62.700676
ST_t-channel_antitop,3939990.000000,25.499250,41521.000000,0.268720,3939990.000000,3936452.000000,165393.000000,115137.000000,276.493286,276.493286,272.638336,76.679146,60.830292,25.943075,18.738478,0.000000
ST_t-channel_top,5796010.000000,42.846300,41521.000000,0.306939,5796010.000000,5790561.000000,237664.000000,162033.000000,307.934998,307.934998,306.372192,84.733490,60.176517,19.472057,13.149204,1.592671
ST_tW_antitop,7721566.000000,35.600000,41521.000000,0.191431,7721566.000000,7710690.000000,792361.000000,604444.000000,8271.695312,8270.892578,8081.686523,2662.291748,2097.318359,1109.263062,641.915405,101.674347
ST_tW_top,7523294.000000,35.600000,41521.000000,0.196476,7523294.000000,7512649.000000,773198.000000,589804.000000,8110.841797,8110.047363,7910.627441,2559.387207,2035.849365,1075.984253,618.393860,103.435562
VBFHToTauTau,2971508.000000,0.237131,41521.000000,0.003313,2971508.000000,2965823.000000,173892.000000,117496.000000,13423.403320,13423.403320,13347.027344,12325.152344,3196.839600,1714.680786,1704.753662,338.589020
WWTo2L2Nu,15934.000000,12.178000,41521.000000,31.733572,15934.000000,15915.000000,3510.000000,2178.000000,50.950356,50.950356,50.950356,46.911270,34.438114,9.222099,4.085413,0.822218
WWToLNuQQ,9956583.000000,10.710000,41521.000000,0.044663,9956583.000000,9946013.000000,1175684.000000,768139.000000,3585.548096,3585.548096,3576.179932,3299.214355,2463.115723,961.896729,702.507629,52.218536
WWW,210490.000000,0.208600,41521.000000,0.041148,210490.000000,209914.000000,29265.000000,21648.000000,368.389618,368.389618,323.411285,290.523071,223.611115,148.762482,74.053955,23.192268
WWZ,221622.000000,0.165100,41521.000000,0.030932,221622.000000,220847.000000,28656.000000,22052.000000,378.026337,378.026337,339.511505,268.313568,202.069931,136.895966,67.849487,27.757996
