Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
data_obs,460739904.000000,1.000000,41521.000000,1.000000,460739904.000000,460567168.000000,256035616.000000,101792096.000000,247383.000000,161921.000000,161912.000000,161003.000000,141086.000000,55276.000000,13227.000000,9222.000000
DY_LO,48281216.000000,5765.400000,41521.000000,4.958143,48281216.000000,48240400.000000,6909067.000000,4268562.000000,7734.000000,3114.276855,3114.276855,3108.875244,2899.504395,592.905884,161.726151,107.802460
DY_LO,49082156.000000,5765.400000,41521.000000,4.877234,49082156.000000,49038832.000000,7038352.000000,4352477.000000,7668.000000,3137.888916,3137.888916,3127.180176,2923.937256,565.055298,181.073380,124.078323
TTTo2L2Nu,8634992.000000,88.290000,41521.000000,0.424539,8634992.000000,8625480.000000,2413126.000000,1828318.000000,20858.000000,12005.737305,12005.737305,10970.748047,1934.145020,1236.452759,667.747864,408.080902
TTToHadronic,42357944.000000,377.960000,41521.000000,0.370492,42357944.000000,42296216.000000,21328.000000,3915.000000,51.000000,15.049097,15.049097,15.049097,2.781303,1.347232,0.000000,0.000000
TTToSemiLeptonic,40888764.000000,365.350000,41521.000000,0.370999,40888764.000000,40836304.000000,6133485.000000,4492183.000000,43069.000000,20672.917969,20672.917969,20423.826172,3400.667480,1364.792603,841.026123,602.692688
ZTTinc,48281216.000000,5765.400000,41521.000000,4.877000,48281216.000000,48240400.000000,6909067.000000,4268562.000000,7734.000000,3114.276855,3114.276855,3108.875244,2899.504395,592.905884,161.726151,107.802460
ZTTinc,49082156.000000,5765.400000,41521.000000,4.877000,49082156.000000,49038832.000000,7038352.000000,4352477.000000,7668.000000,3137.888916,3137.888916,3127.180176,2923.937256,565.055298,181.073380,124.078323
ZTT1jet,34833032.000000,1178.334174,41521.000000,1.090000,34833032.000000,34804832.000000,6481862.000000,4445469.000000,13005.000000,5001.084473,5001.084473,4984.772461,4731.327637,891.564758,103.407883,77.875008
ZTT2jet,9691457.000000,387.308260,41521.000000,1.230000,9691457.000000,9682264.000000,1976665.000000,1413698.000000,6460.000000,2445.258057,2445.258057,2439.200195,2262.018066,527.705017,206.267548,157.401886
ZTT3jet,1147725.000000,118.473500,41521.000000,2.280000,1147725.000000,1146359.000000,248906.000000,182237.000000,993.000000,383.844849,383.844849,381.765717,339.527893,75.715691,30.902407,23.043610
ZTT4jet,4336026.000000,63.775519,41521.000000,0.540000,4336026.000000,4327771.000000,1056415.000000,783182.000000,4700.000000,1887.825317,1887.825317,1878.780273,1588.478760,471.848267,323.378082,189.456573
EWKWMinus2Jets,4375628.000000,20.250000,41521.000000,0.192155,4375628.000000,4369211.000000,720288.000000,507583.000000,2965.000000,1477.650879,1477.650879,1474.859375,1325.844849,562.882507,238.324936,155.464371
EWKWPlus2Jets,4354695.000000,25.620000,41521.000000,0.244281,4354695.000000,4347862.000000,670893.000000,474135.000000,2574.000000,1168.397217,1168.397217,1162.031738,1022.840576,424.333527,180.302505,117.980576
EWKZ2Jets_ZToLL,951316.000000,3.987000,41521.000000,0.174016,951316.000000,949653.000000,260218.000000,208076.000000,1434.000000,583.623535,583.623535,580.789978,522.356323,140.765015,94.665520,60.093414
EWKZ2Jets_ZToNuNu,2943056.000000,10.010000,41521.000000,0.141222,2943056.000000,2939465.000000,765.000000,149.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GluGluHToTauTau,2862720.000000,2.767578,41521.000000,0.040141,2862720.000000,2859674.000000,108243.000000,63110.000000,1634.000000,1061.488281,1061.488281,1054.229614,997.583008,135.442108,21.389221,20.637030
ST_t-channel_antitop,3939990.000000,25.499250,41521.000000,0.268720,3939990.000000,3936452.000000,165393.000000,115137.000000,519.000000,242.841751,242.841751,240.098572,80.828217,39.723110,13.928131,10.345082
ST_t-channel_top,5796010.000000,42.846300,41521.000000,0.306939,5796010.000000,5790561.000000,237664.000000,162033.000000,674.000000,286.553375,286.553375,283.731750,84.078354,40.638733,16.325123,14.136468
ST_tW_antitop,7721566.000000,35.600000,41521.000000,0.191431,7721566.000000,7710690.000000,792361.000000,604444.000000,5626.000000,3009.918457,3009.918457,2924.218262,939.705322,468.874207,284.355896,175.208984
ST_tW_top,7523294.000000,35.600000,41521.000000,0.196476,7523294.000000,7512649.000000,773198.000000,589804.000000,5546.000000,2955.806641,2955.806641,2871.963867,909.187744,451.691498,278.683533,163.929245
VBFHToTauTau,2971508.000000,0.237131,41521.000000,0.003313,2971508.000000,2965823.000000,173892.000000,117496.000000,2963.000000,1875.072510,1875.072510,1861.237183,1704.466187,162.828232,83.060287,78.028320
WJetsToLNu,44587448.000000,61526.700000,41521.000000,57.295275,44587448.000000,42986692.000000,2808210.000000,1066659.000000,1614.000000,812.586792,812.586792,811.283081,787.908020,344.046234,21.477085,15.214876
WJetsToLNu_HT100To200,35737472.000000,1642.584587,41521.000000,1.908410,35737472.000000,35705832.000000,4575679.000000,3835244.750000,17781.529297,10326.703125,10326.703125,10312.884766,9657.942383,4152.054199,1829.473755,1299.287842
