Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
data_obs,115184976.000000,1.000000,10380.250000,1.000000,115184976.000000,115141816.000000,64017880.000000,25448968.000000,83451.000000,58247.000000,58206.000000,57756.000000,48664.000000,31562.000000,6548.000000,4816.000000
DY_LO,48281216.000000,5765.400000,10380.250000,1.392737,48281216.000000,48240400.000000,6909067.000000,4221994.000000,13755.567383,7788.407227,7788.407227,7771.710449,7237.073730,3025.652832,621.111694,504.123108
DY_LO,49082156.000000,5765.400000,10380.250000,1.370010,49082156.000000,49038832.000000,7038352.000000,4304986.500000,14025.088867,7903.727051,7903.727051,7881.325195,7376.456055,3050.189941,603.986816,502.593567
TTTo2L2Nu,8634992.000000,88.290000,10380.250000,0.119252,8634992.000000,8625480.000000,2413126.000000,1813780.875000,71512.367188,53104.910156,53104.148438,50980.542969,9090.198242,7314.278809,3884.650879,2188.522217
TTToHadronic,42357944.000000,377.960000,10380.250000,0.104071,42357944.000000,42296216.000000,21328.000000,3878.349609,37.625988,18.021544,18.021544,17.195971,5.502622,2.571170,2.571170,0.848283
TTToSemiLeptonic,40888764.000000,365.350000,10380.250000,0.104213,40888764.000000,40836304.000000,6133485.000000,4464356.500000,41428.378906,22968.941406,22968.941406,22644.697266,3735.967285,2524.967529,1409.396851,1043.248657
ZTTinc,48281216.000000,6709.696641,10380.250000,0.690031,48281216.000000,48240400.000000,6909067.000000,4221994.000000,13755.567383,7788.407227,7788.407227,7771.710449,7237.073730,3025.652832,621.111694,504.123108
ZTTinc,49082156.000000,6709.696641,10380.250000,0.690031,49082156.000000,49038832.000000,7038352.000000,4304986.500000,14025.088867,7903.727051,7903.727051,7881.325195,7376.456055,3050.189941,603.986816,502.593567
ZTT1jet,34833032.000000,1178.334174,10380.250000,0.250892,34833032.000000,34804832.000000,6481862.000000,4406955.000000,20651.373047,10887.860352,10887.860352,10853.766602,10203.004883,4097.869629,482.573181,417.929443
ZTT2jet,9691457.000000,387.308260,10380.250000,0.278032,9691457.000000,9682264.000000,1976665.000000,1400093.625000,9725.694336,5059.637207,5059.637207,5038.587891,4580.261230,1916.195190,650.512451,545.660339
ZTT3jet,1147725.000000,118.473500,10380.250000,0.438329,1147725.000000,1146359.000000,248906.000000,180189.375000,1518.198853,824.055115,824.055115,821.723145,725.190918,285.455658,151.847946,123.257339
ZTT4jet,4336026.000000,63.775519,10380.250000,0.137035,4336026.000000,4327771.000000,1056415.000000,772005.187500,6772.836914,3691.804199,3691.804199,3670.072021,3083.366455,1331.431274,907.766541,713.429138
EWKWMinus2Jets,4375628.000000,20.250000,10380.250000,0.053976,4375628.000000,4369211.000000,720288.000000,501982.718750,3080.838379,1735.631836,1735.631836,1732.435913,1539.984009,1106.276489,461.601959,305.247467
EWKWPlus2Jets,4354695.000000,25.620000,10380.250000,0.068618,4354695.000000,4347862.000000,670893.000000,468220.000000,2582.294189,1384.668335,1384.668335,1382.367065,1216.309692,881.971436,338.793243,227.864471
EWKZ2Jets_ZToLL,951316.000000,3.987000,10380.250000,0.048881,951316.000000,949653.000000,260218.000000,204639.906250,2245.865234,1278.607422,1278.607422,1272.247803,1120.336914,448.585449,261.651978,195.496628
EWKZ2Jets_ZToNuNu,2943056.000000,10.010000,10380.250000,0.039669,2943056.000000,2939465.000000,765.000000,146.314667,0.999999,0.813803,0.813803,0.813803,0.813803,0.813803,0.813803,0.000000
GluGluHToTauTau,2862720.000000,2.767578,10380.250000,0.011276,2862720.000000,2859674.000000,108243.000000,62769.898438,9994.516602,7436.796387,7435.987305,7407.352051,6973.812500,2411.126709,407.385895,403.480927
ST_t-channel_antitop,3939990.000000,25.499250,10380.250000,0.075483,3939990.000000,3936452.000000,165393.000000,114181.945312,543.862854,274.730713,274.730713,270.879700,76.386696,60.623737,25.854456,18.716394
ST_t-channel_top,5796010.000000,42.846300,10380.250000,0.086219,5796010.000000,5790561.000000,237664.000000,160414.218750,657.965637,305.620026,305.620026,304.057220,83.884277,59.417465,18.980389,12.800640
