Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
data_obs,115184976.000000,1.000000,10380.250000,1.000000,115184976.000000,115141816.000000,64017880.000000,25448968.000000,311511.000000,44530.210938,44517.367188,44240.613281,38951.468750,26647.226562,5552.359375,3981.516846
DY_LO,48281216.000000,5765.400000,10380.250000,1.239536,48281216.000000,48240400.000000,6909067.000000,4221994.000000,33062.980469,4234.250488,4234.250488,4222.311523,3911.693359,1896.873779,418.752869,303.446381
DY_LO,49082156.000000,5765.400000,10380.250000,1.219309,49082156.000000,49038832.000000,7038352.000000,4304986.500000,33252.062500,4271.627441,4271.627441,4255.625488,3932.360840,1897.521973,454.529999,327.968475
TTTo2L2Nu,8634992.000000,88.290000,10380.250000,0.106135,8634992.000000,8625480.000000,2413126.000000,1813780.875000,74693.109375,11875.749023,11875.571289,10179.430664,1725.991333,1368.829956,738.197754,479.116302
TTToHadronic,42357944.000000,377.960000,10380.250000,0.092623,42357944.000000,42296216.000000,21328.000000,3878.349609,279.282257,33.232929,33.232929,32.476398,5.070096,2.215592,0.844001,0.844001
TTToSemiLeptonic,40888764.000000,365.350000,10380.250000,0.092750,40888764.000000,40836304.000000,6133485.000000,4464356.500000,222331.265625,33572.468750,33572.300781,33163.812500,5302.568848,3566.346191,1957.842407,1447.727905
ZTTinc,48281216.000000,6709.696641,10380.250000,0.614128,48281216.000000,48240400.000000,6909067.000000,4221994.000000,33062.980469,4234.250488,4234.250488,4222.311523,3911.693359,1896.873779,418.752869,303.446381
ZTTinc,49082156.000000,6709.696641,10380.250000,0.614128,49082156.000000,49038832.000000,7038352.000000,4304986.500000,33252.062500,4271.627441,4271.627441,4255.625488,3932.360840,1897.521973,454.529999,327.968475
ZTT1jet,34833032.000000,1178.334174,10380.250000,0.223294,34833032.000000,34804832.000000,6481862.000000,4406955.000000,57282.152344,7133.941895,7133.941895,7114.032227,6736.172363,3102.660400,267.727112,212.371811
ZTT2jet,9691457.000000,387.308260,10380.250000,0.247449,9691457.000000,9682264.000000,1976665.000000,1400093.625000,29630.097656,3605.029541,3605.029541,3589.181885,3299.053467,1664.289429,489.719086,380.274445
ZTT3jet,1147725.000000,118.473500,10380.250000,0.390113,1147725.000000,1146359.000000,248906.000000,180189.375000,4428.745117,548.634766,548.634766,546.414368,484.794342,238.606903,106.102982,77.728416
ZTT4jet,4336026.000000,63.775519,10380.250000,0.121961,4336026.000000,4327771.000000,1056415.000000,772005.187500,21968.117188,2649.682617,2649.682617,2635.612793,2196.207520,1214.083130,745.427856,497.023804
EWKWMinus2Jets,4375628.000000,20.250000,10380.250000,0.048039,4375628.000000,4369211.000000,720288.000000,501982.718750,14637.030273,2328.774902,2328.774902,2321.603516,2052.986816,1475.251099,589.055115,391.517517
EWKWPlus2Jets,4354695.000000,25.620000,10380.250000,0.061070,4354695.000000,4347862.000000,670893.000000,468220.000000,12664.284180,1855.209229,1855.209229,1850.117432,1617.686646,1160.989014,436.855164,291.477966
EWKZ2Jets_ZToLL,951316.000000,3.987000,10380.250000,0.043504,951316.000000,949653.000000,260218.000000,204639.906250,6384.029297,761.370789,761.370789,758.229309,658.561584,349.667450,182.410583,117.655968
EWKZ2Jets_ZToNuNu,2943056.000000,10.010000,10380.250000,0.035306,2943056.000000,2939465.000000,765.000000,146.314667,1.000000,0.229257,0.229257,0.229257,0.229257,0.000000,0.000000,0.000000
GluGluHToTauTau,2862720.000000,2.767578,10380.250000,0.010035,2862720.000000,2859674.000000,108243.000000,62769.898438,4645.669922,979.453491,979.278076,970.337585,900.917419,319.772369,52.851246,50.924316
ST_t-channel_antitop,3939990.000000,25.499250,10380.250000,0.067180,3939990.000000,3936452.000000,165393.000000,114181.945312,2618.618164,393.694000,393.694000,389.581512,114.241577,83.356308,25.906595,19.749577
ST_t-channel_top,5796010.000000,42.846300,10380.250000,0.076735,5796010.000000,5790561.000000,237664.000000,160414.218750,3575.132324,511.421417,511.421417,507.908508,143.477020,99.593292,26.244152,21.774294
ST_tW_antitop,7721566.000000,35.600000,10380.250000,0.047858,7721566.000000,7710690.000000,792361.000000,601085.812500,24736.199219,3932.403564,3932.403564,3781.709229,1152.179688,834.873413,439.945923,308.962219
ST_tW_top,7523294.000000,35.600000,10380.250000,0.049119,7523294.000000,7512649.000000,773198.000000,586498.312500,24387.501953,3865.435791,3865.435791,3718.865234,1144.707642,813.859131,419.952026,278.284546
VBFHToTauTau,2971508.000000,0.237131,10380.250000,0.000828,2971508.000000,2965823.000000,173892.000000,115922.984375,8719.348633,1659.361816,1659.361816,1633.888672,1462.255737,388.869415,177.738647,168.322083
WWTo2L2Nu,15934.000000,12.178000,10380.250000,7.933393,15934.000000,15915.000000,3510.000000,2158.457031,41.266026,8.776707,8.776707,7.826601,7.002468,5.929269,1.416535,0.576848
WWToLNuQQ,9956583.000000,10.710000,10380.250000,0.011166,9956583.000000,9946013.000000,1175684.000000,763560.250000,27536.927734,4618.937988,4618.769043,4609.671875,4231.853516,3103.980713,1119.778931,829.152161
WWW,210490.000000,0.208600,10380.250000,0.010287,210490.000000,209914.000000,29265.000000,21428.369141,1087.012695,147.373962,147.373962,129.007675,110.283310,78.316315,53.178772,32.999031
WWZ,221622.000000,0.165100,10380.250000,0.007733,221622.000000,220847.000000,28656.000000,21810.683594,1059.475830,145.501419,145.501419,129.143951,100.406715,72.383125,47.822353,28.254137
WZTo1L1Nu2Q,11263154.000000,10.710000,10380.250000,0.009870,11263154.000000,11248929.000000,1370224.000000,917539.125000,30621.312500,3817.215332,3817.215332,3802.877197,3054.703125,2163.760742,987.317078,666.403381
WZTo2L2Q,16664610.000000,5.595000,10380.250000,0.003485,16664610.000000,16643809.000000,2269819.000000,1662076.875000,61399.574219,7321.599121,7321.599121,7282.562012,6491.766113,3462.599121,1816.716064,1193.425293
WZTo3LNu,6820606.000000,4.430000,10380.250000,0.006742,6820606.000000,6813277.000000,1011710.000000,703169.812500,20540.740234,2416.656006,2416.656006,2018.131714,1851.208740,1397.645996,699.338989,423.044312
WZZ,219660.000000,0.055650,10380.250000,0.002630,219660.000000,218984.000000,21974.000000,16832.738281,798.224731,97.983208,97.983208,87.740433,66.036003,43.050106,28.844133,16.897467
WMinusHToTauTau,3442926.000000,0.033400,10380.250000,0.000101,3442926.000000,3436685.000000,341778.000000,232382.468750,26769.527344,3675.662109,3675.662109,3234.039551,2892.677246,1624.485352,744.177979,537.603516
WPlusHToTauTau,3777578.000000,0.052000,10380.250000,0.000143,3777578.000000,3770072.000000,377609.000000,252404.937500,27930.802734,3751.440918,3751.276367,3313.362305,2976.306885,1663.720947,788.986572,544.907593
ZHToTauTau,4652054.000000,0.055427,10380.250000,0.000124,4652054.000000,4643296.000000,364109.000000,247407.531250,26100.535156,3833.108398,3833.108398,3519.763428,2866.632080,1542.551758,767.812866,599.728271
ZJetsToNuNu_HT100To200,22702468.000000,280.920000,10380.250000,0.128445,22702468.000000,22686184.000000,2926.000000,496.786652,13.889057,1.301468,1.301468,1.301468,1.301468,0.749151,0.568464,0.361779
ZJetsToNuNu_HT1200To2500,334332.000000,0.287400,10380.250000,0.008923,334332.000000,323647.000000,152.000000,43.182495,0.865510,0.295500,0.295500,0.295500,0.295500,0.295500,0.295500,0.000000
ZJetsToNuNu_HT200To400,21618510.000000,77.640000,10380.250000,0.037279,21618510.000000,21592994.000000,4355.000000,760.310120,16.863482,1.898621,1.898621,1.898621,1.669706,1.474492,1.298286,0.714428
ZJetsToNuNu_HT2500ToInf,6446.000000,0.006933,10380.250000,0.011164,6446.000000,5906.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT400To600,9094890.000000,10.671000,10380.250000,0.012179,9094890.000000,9066725.000000,2578.000000,523.884338,11.625401,0.563581,0.563581,0.563581,0.330670,0.330670,0.000000,0.000000
ZJetsToNuNu_HT600To800,5664642.000000,2.561100,10380.250000,0.004693,5664642.000000,5627442.000000,2006.000000,463.681732,16.471596,1.538262,1.538262,1.538262,0.916492,0.369231,0.369231,0.000000
ZJetsToNuNu_HT800To1200,2041779.000000,1.177800,10380.250000,0.005988,2041779.000000,2014718.000000,774.000000,185.446442,2.861433,0.447944,0.447944,0.447944,0.447944,0.152065,0.152065,0.000000
ZZTo2L2Q,17768294.000000,3.220000,10380.250000,0.001881,17768294.000000,17747844.000000,2706827.000000,1972306.125000,69815.960938,8347.765625,8347.765625,8290.322266,6723.455078,3556.103271,1693.778809,1210.131714
ZZTo4L,86103680.000000,1.212000,10380.250000,0.000146,86103680.000000,86029168.000000,10154386.000000,6434006.000000,182866.156250,21169.763672,21169.587891,17711.511719,16223.732422,10461.396484,4403.688965,2653.506592
ZZTo4L,10994317.000000,1.212000,10380.250000,0.001144,10994317.000000,10984736.000000,1297299.000000,822509.125000,23447.455078,2763.476074,2763.476074,2313.595215,2113.792725,1358.269531,570.839417,353.323364
