Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
data_obs,83669664.000000,1.000000,6999.500000,1.000000,83669664.000000,83639328.000000,45752200.000000,17829556.000000,26468.000000,19553.000000,19552.000000,19451.000000,16346.000000,3308.000000,2525.000000,221.000000
DY_LO,48281216.000000,5765.400000,6999.500000,0.835831,48281216.000000,48240400.000000,6909067.000000,4268562.000000,7103.000000,3661.659180,3661.659180,3657.594482,3451.240967,697.645813,624.768982,95.250824
DY_LO,49082156.000000,5765.400000,6999.500000,0.822191,49082156.000000,49038832.000000,7038352.000000,4352477.000000,7218.000000,3700.879150,3700.879150,3694.748535,3485.082031,679.618225,602.232117,72.135040
TTTo2L2Nu,8634992.000000,88.290000,6999.500000,0.071568,8634992.000000,8625480.000000,2413126.000000,1828318.000000,38550.000000,25636.675781,25636.675781,24891.783203,4513.497070,2366.284668,1405.799805,313.104156
TTToHadronic,42357944.000000,377.960000,6999.500000,0.062457,42357944.000000,42296216.000000,21328.000000,3915.000000,14.000000,6.511147,6.511147,5.776386,2.206947,1.533369,0.000000,0.000000
TTToSemiLeptonic,40888764.000000,365.350000,6999.500000,0.062542,40888764.000000,40836304.000000,6133485.000000,4492183.000000,20648.000000,10349.571289,10349.571289,10213.850586,1735.421387,950.638916,698.144836,89.820648
ZTT1,34833032.000000,1012.500000,6999.500000,0.203456,34833032.000000,34804832.000000,6481862.000000,4445469.000000,10499.000000,5025.094727,5025.094727,5012.229980,4748.651367,617.667969,565.727173,50.678894
ZTT2,9691457.000000,332.800000,6999.500000,0.240359,9691457.000000,9682264.000000,1976665.000000,1413698.000000,4913.000000,2327.697266,2327.697266,2321.568115,2131.456299,722.285034,646.369446,67.625977
ZTT3,1147725.000000,101.800000,6999.500000,0.620836,1147725.000000,1146359.000000,248906.000000,182237.000000,758.000000,382.688904,382.688904,381.968323,349.888336,185.009888,164.581955,24.239687
ZTT4,4336026.000000,54.800000,6999.500000,0.088462,4336026.000000,4327771.000000,1056415.000000,783182.000000,3418.000000,1679.458008,1679.458008,1669.929199,1426.191895,999.019531,871.182922,178.338913
ZTT,57696292.000000,4954.000000,6999.500000,0.601001,57696292.000000,57644604.000000,8284241.000000,5145399.000000,9439.000000,4797.314453,4797.314453,4790.450195,4544.778809,916.175354,824.153442,127.371918
ZTT,58629464.000000,4954.000000,6999.500000,0.591435,58629464.000000,58575952.000000,8421527.000000,5231916.000000,9838.000000,4966.895020,4966.895020,4953.610352,4696.840332,988.571167,887.719177,122.982422
ZTT,7192473.000000,4954.000000,6999.500000,4.821085,7192473.000000,7185506.000000,1034155.000000,643045.000000,1261.000000,641.429443,641.429443,639.447998,603.023499,112.308952,96.765076,14.833829
EWKWMinus2Jets,4375628.000000,20.250000,6999.500000,0.032393,4375628.000000,4369211.000000,720288.000000,507583.000000,1478.000000,737.939819,737.939819,735.850342,669.507629,284.739563,187.194061,11.468282
