Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
data_obs,115184976.000000,1.000000,10380.250000,1.000000,115184976.000000,115141816.000000,64017880.000000,25448968.000000,38629.000000,28229.000000,28227.000000,28071.000000,23645.000000,4756.000000,3624.000000,307.000000
DY_LO,48281216.000000,5765.400000,10380.250000,1.239536,48281216.000000,48240400.000000,6909067.000000,4268562.000000,7103.000000,3661.451904,3661.451904,3657.385010,3451.009033,697.640503,624.739868,95.224854
DY_LO,49082156.000000,5765.400000,10380.250000,1.219309,49082156.000000,49038832.000000,7038352.000000,4352477.000000,7218.000000,3700.638184,3700.638184,3694.507324,3484.867676,679.514038,602.122070,72.139244
TTTo2L2Nu,8634992.000000,88.290000,10380.250000,0.106135,8634992.000000,8625480.000000,2413126.000000,1828318.000000,38550.000000,25637.089844,25637.089844,24892.261719,4513.601074,2366.395264,1405.911743,313.181763
TTToHadronic,42357944.000000,377.960000,10380.250000,0.092623,42357944.000000,42296216.000000,21328.000000,3915.000000,14.000000,6.511147,6.511147,5.776386,2.206947,1.533369,0.000000,0.000000
TTToSemiLeptonic,40888764.000000,365.350000,10380.250000,0.092750,40888764.000000,40836304.000000,6133485.000000,4492183.000000,20648.000000,10349.609375,10349.609375,10213.908203,1735.561401,950.726318,698.228943,89.830040
ZTTinc,49082156.000000,5765.400000,10380.250000,1.219250,49082156.000000,49038832.000000,7038352.000000,4352477.000000,7218.000000,3700.638184,3700.638184,3694.507324,3484.867676,679.514038,602.122070,72.139244
ZTT1jet,34833032.000000,1178.334174,10380.250000,0.272500,34833032.000000,34804832.000000,6481862.000000,4445469.000000,10499.000000,5024.962402,5024.962402,5012.097168,4748.593750,617.609253,565.670654,50.651901
ZTT2jet,9691457.000000,387.308260,10380.250000,0.307500,9691457.000000,9682264.000000,1976665.000000,1413698.000000,4913.000000,2327.897949,2327.897949,2321.768799,2131.652832,722.288269,646.397827,67.618584
ZTT3jet,1147725.000000,118.473500,10380.250000,0.570000,1147725.000000,1146359.000000,248906.000000,182237.000000,758.000000,382.703857,382.703857,381.983246,349.916199,185.035355,164.607422,24.239687
ZTT4jet,4336026.000000,63.775519,10380.250000,0.135000,4336026.000000,4327771.000000,1056415.000000,783182.000000,3418.000000,1679.431519,1679.431519,1669.903320,1426.235474,999.169861,871.302185,178.316299
EWKWMinus2Jets,4375628.000000,20.250000,10380.250000,0.048039,4375628.000000,4369211.000000,720288.000000,507583.000000,1478.000000,737.921082,737.921082,735.831604,669.475708,284.798218,187.220047,11.468282
EWKWPlus2Jets,4354695.000000,25.620000,10380.250000,0.061070,4354695.000000,4347862.000000,670893.000000,474135.000000,1311.000000,640.626648,640.626648,638.578552,567.217468,230.780350,154.957153,14.945301
EWKZ2Jets_ZToLL,951316.000000,3.987000,10380.250000,0.043504,951316.000000,949653.000000,260218.000000,208076.000000,1194.000000,615.786682,615.786682,614.320801,538.350098,325.834351,274.038818,68.403595
EWKZ2Jets_ZToNuNu,2943056.000000,10.010000,10380.250000,0.035306,2943056.000000,2939465.000000,765.000000,149.000000,1.000000,0.724286,0.724286,0.724286,0.724286,0.724286,0.000000,0.000000
GluGluHToTauTau,2862720.000000,2.767578,10380.250000,0.010035,2862720.000000,2859674.000000,108243.000000,63110.000000,4625.000000,3069.421631,3069.421631,3062.759033,2914.771973,611.989807,609.196838,169.513351
ST_t-channel_antitop,3939990.000000,25.499250,10380.250000,0.067180,3939990.000000,3936452.000000,165393.000000,115137.000000,268.000000,123.319992,123.319992,119.889084,36.794525,12.638111,9.091821,0.000000
ST_t-channel_top,5796010.000000,42.846300,10380.250000,0.076735,5796010.000000,5790561.000000,237664.000000,162033.000000,309.000000,138.250702,138.250702,137.542389,39.170753,11.978426,9.154862,0.705447
ST_tW_antitop,7721566.000000,35.600000,10380.250000,0.047858,7721566.000000,7710690.000000,792361.000000,604444.000000,6168.000000,3904.247314,3904.247314,3842.218018,1285.950928,653.715027,386.508759,56.295677
ST_tW_top,7523294.000000,35.600000,10380.250000,0.049119,7523294.000000,7512649.000000,773198.000000,589804.000000,6098.000000,3860.768311,3860.768311,3792.635010,1247.884766,629.451538,359.664032,52.373386
VBFHToTauTau,2971508.000000,0.237131,10380.250000,0.000828,2971508.000000,2965823.000000,173892.000000,117496.000000,8254.000000,5547.115234,5547.115234,5526.931152,5163.558105,2860.671631,2854.160889,816.847839
WJetsToLNu,44587448.000000,61526.700000,10380.250000,14.323819,44587448.000000,42986692.000000,2808210.000000,1290881.375000,1112.392944,640.675476,640.675476,638.800720,621.506409,41.275867,38.467487,1.876504
WJetsToLNu_HT100To200,35737472.000000,1642.584587,10380.250000,0.477103,35737472.000000,35705832.000000,4575679.000000,3835244.750000,8667.817383,5152.332520,5152.332520,5147.483887,4835.238770,1924.845825,1424.537598,32.679012
WJetsToLNu_HT1200To2500,19991892.000000,1.624266,10380.250000,0.000843,19991892.000000,19349042.000000,3236249.000000,2937655.000000,2300.674072,969.480835,969.480835,966.470886,793.803345,680.117310,300.292114,134.358917
WJetsToLNu_HT200To400,21192212.000000,439.284517,10380.250000,0.215168,21192212.000000,21159894.000000,3082872.000000,2200172.000000,3837.000000,1960.137451,1960.137451,1954.483887,1781.854736,1272.443604,774.777283,87.504814
WJetsToLNu_HT2500ToInf,20629584.000000,0.039324,10380.250000,0.000020,20629584.000000,18944672.000000,3264312.000000,3035293.000000,2132.286865,847.853760,847.853760,842.791138,623.580627,533.353577,228.041687,122.744644
WJetsToLNu_HT400To600,13664751.000000,59.731459,10380.250000,0.045374,13664751.000000,13616740.000000,2173905.000000,1590347.000000,2002.000000,981.105042,981.105042,976.608154,850.300049,725.575439,385.773621,146.298752
WJetsToLNu_HT600To800,21582308.000000,14.703880,10380.250000,0.007072,21582308.000000,21431606.000000,3502465.000000,3155910.500000,3302.466064,1648.077637,1648.077637,1645.055786,1353.714233,1165.295288,530.798889,231.898865
WJetsToLNu_HT800To1200,20272990.000000,6.741314,10380.250000,0.003452,20272990.000000,19998372.000000,3315322.000000,2984702.000000,2724.930420,1244.816406,1244.816406,1238.448975,1002.806213,852.481384,371.521057,150.807083
WJetsToLNu_inc,44587448.000000,61526.700000,10380.250000,14.322500,44587448.000000,44563376.000000,3017950.000000,1468614.250000,1496.062256,872.193970,872.193970,870.319214,837.932495,148.243973,105.417824,5.816874
W1JetsToLNu,54106928.000000,11778.363800,10380.250000,1.952500,54106928.000000,54075064.000000,4969046.000000,3584549.750000,5267.619629,3255.282715,3255.282715,3249.580811,3171.297852,100.782066,77.735680,2.775116
W2JetsToLNu,6570442.000000,3849.219740,10380.250000,4.261750,6570442.000000,6565649.000000,684937.000000,522130.562500,1183.212158,707.883545,707.883545,707.883545,679.272095,131.579620,100.514534,3.509173
W3JetsToLNu,19669692.000000,1166.047870,10380.250000,0.590000,19669692.000000,19651860.000000,2242534.000000,1793756.500000,4484.867676,2671.250000,2671.250000,2666.529541,2494.746826,918.877930,667.788269,33.699394
W4JetsToLNu,11303425.000000,593.055246,10380.250000,0.524500,11303425.000000,11287436.000000,1399354.000000,1153242.625000,2780.919922,1635.588867,1635.588867,1635.588867,1502.576660,799.028931,548.287231,48.955795
WWTo2L2Nu,15934.000000,12.178000,10380.250000,7.933393,15934.000000,15915.000000,3510.000000,2178.000000,44.000000,29.320435,29.320435,29.320435,27.841511,7.425639,2.888065,0.731774
WWToLNuQQ,9956583.000000,10.710000,10380.250000,0.011166,9956583.000000,9946013.000000,1175684.000000,768139.000000,2952.000000,1609.198120,1609.198120,1607.092773,1485.891357,581.342224,423.045410,37.397755
WWW,210490.000000,0.208600,10380.250000,0.010287,210490.000000,209914.000000,29265.000000,21648.000000,331.000000,164.589035,164.589035,142.593353,128.325836,84.679024,40.530960,12.370062
WWZ,221622.000000,0.165100,10380.250000,0.007733,221622.000000,220847.000000,28656.000000,22052.000000,325.000000,166.375778,166.375778,142.857910,115.661385,78.492889,45.878101,23.761827
WZTo1L1Nu2Q,11263154.000000,10.710000,10380.250000,0.009870,11263154.000000,11248929.000000,1370224.000000,923762.000000,3097.000000,1228.417480,1228.417480,1225.525757,1011.652832,480.072876,329.659729,39.781292
WZTo2L2Q,16664610.000000,5.595000,10380.250000,0.003485,16664610.000000,16643809.000000,2269819.000000,1682107.000000,9507.000000,4519.620605,4519.620605,4510.057617,4096.162598,2383.180420,2041.114624,393.986786
WZTo3LNu,6820606.000000,4.430000,10380.250000,0.006742,6820606.000000,6813277.000000,1011710.000000,712061.000000,16467.000000,6108.604492,6108.604492,5511.799316,5228.384766,2534.813477,1482.261475,343.032074
WZZ,219660.000000,0.055650,10380.250000,0.002630,219660.000000,218984.000000,21974.000000,17040.000000,266.000000,99.431534,99.431534,84.435310,73.879303,52.612999,32.998539,10.400845
WMinusHToTauTau,3442926.000000,0.033400,10380.250000,0.000101,3442926.000000,3436685.000000,341778.000000,233797.000000,25745.000000,11448.008789,11448.008789,10095.363281,9349.290039,4455.344238,3385.237305,759.677612
WPlusHToTauTau,3777578.000000,0.052000,10380.250000,0.000143,3777578.000000,3770072.000000,377609.000000,254267.000000,26285.000000,11729.089844,11729.089844,10380.013672,9630.595703,4765.555176,3564.711670,909.412048
ZHToTauTau,4652054.000000,0.055427,10380.250000,0.000124,4652054.000000,4643296.000000,364109.000000,249509.000000,23326.000000,11493.517578,11493.517578,10588.059570,9011.425781,4836.578613,3998.947266,1219.862061
ZJetsToNuNu_HT100To200,22702468.000000,280.920000,10380.250000,0.128445,22702468.000000,22686184.000000,2926.000000,501.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT1200To2500,334332.000000,0.287400,10380.250000,0.008923,334332.000000,323647.000000,152.000000,44.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT200To400,21618510.000000,77.640000,10380.250000,0.037279,21618510.000000,21592994.000000,4355.000000,769.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT2500ToInf,6446.000000,0.006933,10380.250000,0.011164,6446.000000,5906.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT400To600,9094890.000000,10.671000,10380.250000,0.012179,9094890.000000,9066725.000000,2578.000000,535.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT600To800,5664642.000000,2.561100,10380.250000,0.004693,5664642.000000,5627442.000000,2006.000000,474.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT800To1200,2041779.000000,1.177800,10380.250000,0.005988,2041779.000000,2014718.000000,774.000000,190.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZZTo2L2Q,17768294.000000,3.220000,10380.250000,0.001881,17768294.000000,17747844.000000,2706827.000000,1993814.000000,10728.000000,5061.514648,5061.514648,5025.736328,3994.969238,2054.046875,1746.803467,271.154022
ZZTo4L,86103680.000000,1.212000,10380.250000,0.000146,86103680.000000,86029168.000000,10154386.000000,6515053.000000,148416.000000,54821.882812,54821.882812,47779.101562,44828.105469,18183.544922,11172.583984,677.443665
ZZTo4L,10994317.000000,1.212000,10380.250000,0.001144,10994317.000000,10984736.000000,1297299.000000,832832.000000,18951.000000,6865.819824,6865.819824,5994.308594,5640.301758,2293.497070,1406.665649,89.627510
ZZZ,213514.000000,0.013980,10380.250000,0.000680,213514.000000,213085.000000,17164.000000,13681.000000,187.000000,79.582909,79.582909,72.564049,58.907711,34.565277,21.175974,4.997616
VBFHToWWTo2L2Nu,499278.000000,0.085800,10380.250000,0.001784,499278.000000,498740.000000,81410.000000,56201.000000,685.000000,436.415588,436.415588,428.135468,395.724884,336.049530,334.573883,67.757591
WWTo2L2Nu_DoubleScattering,968000.000000,1.620000,10380.250000,0.017372,968000.000000,967414.000000,118516.000000,48478.000000,395.000000,144.908752,144.908752,137.980850,129.806732,47.408089,39.546452,3.886873
WZTo1L3Nu,2681223.000000,3.050000,10380.250000,0.011808,2681223.000000,2678565.000000,331309.000000,224712.000000,211.000000,106.922493,106.922493,106.922493,99.266235,59.132179,35.882118,16.018078
WpWpJJ_EWK,144938.000000,0.026150,10380.250000,0.001873,144938.000000,144433.000000,45467.000000,36044.000000,936.000000,43.553402,43.553402,32.966297,29.466848,20.548933,9.721778,2.789722
WpWpJJ_QCD,149484.000000,0.026150,10380.250000,0.001816,149484.000000,148856.000000,38490.000000,27957.000000,518.000000,37.822880,37.822880,25.889679,23.730141,15.826408,8.385964,2.018778
ZZTo2Q2Nu,36986756.000000,4.030000,10380.250000,0.001131,36986756.000000,36955536.000000,5614.000000,1022.000000,5.000000,2.768122,2.768122,2.768122,2.768122,0.761374,0.000000,0.000000
ZZTo2Q2Nu,2251465.000000,4.030000,10380.250000,0.018580,2251465.000000,2249497.000000,336.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
