Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
data_obs,460739904.000000,1.000000,41521.000000,1.000000,460739904.000000,460567168.000000,256035616.000000,101792096.000000,178131.109375,178079.156250,176953.953125,155650.140625,106311.281250,22219.103516,15899.162109,960.434814
DY_LO,48281216.000000,5765.400000,41521.000000,4.958143,48281216.000000,48240400.000000,6909067.000000,4268562.000000,3251.389893,3251.389893,3242.216309,3001.086426,1464.090454,337.093445,241.279388,4.643387
DY_LO,49082156.000000,5765.400000,41521.000000,4.877234,49082156.000000,49038832.000000,7038352.000000,4352477.000000,3283.019043,3283.019043,3270.816895,3019.320801,1467.475098,365.597321,260.847168,4.201909
TTTo2L2Nu,8634992.000000,88.290000,41521.000000,0.424539,8634992.000000,8625480.000000,2413126.000000,1828318.000000,9430.766602,9430.624023,8087.524902,1374.783447,1092.971069,604.734375,385.969025,107.212227
TTToHadronic,42357944.000000,377.960000,41521.000000,0.370492,42357944.000000,42296216.000000,21328.000000,3915.000000,26.033739,26.033739,25.468363,4.084631,1.694837,0.667910,0.667910,0.000000
TTToSemiLeptonic,40888764.000000,365.350000,41521.000000,0.370999,40888764.000000,40836304.000000,6133485.000000,4492183.000000,26529.544922,26529.416016,26207.208984,4198.955078,2822.966553,1586.140015,1160.021484,161.024368
ZTTinc,48281216.000000,6709.696641,41521.000000,2.456509,48281216.000000,48240400.000000,6909067.000000,4268562.000000,3251.389893,3251.389893,3242.216309,3001.086426,1464.090454,337.093445,241.279388,4.643387
ZTTinc,49082156.000000,6709.696641,41521.000000,2.456509,49082156.000000,49038832.000000,7038352.000000,4352477.000000,3283.019043,3283.019043,3270.816895,3019.320801,1467.475098,365.597321,260.847168,4.201909
ZTT1jet,34833032.000000,1178.334174,41521.000000,0.893174,34833032.000000,34804832.000000,6481862.000000,4445469.000000,5478.529297,5478.529297,5463.445312,5172.351074,2395.288330,213.949036,168.378006,3.641282
ZTT2jet,9691457.000000,387.308260,41521.000000,0.989794,9691457.000000,9682264.000000,1976665.000000,1413698.000000,2795.187256,2795.187256,2782.947998,2557.713379,1298.560181,392.555481,301.985504,3.898310
ZTT3jet,1147725.000000,118.473500,41521.000000,1.560452,1147725.000000,1146359.000000,248906.000000,182237.000000,430.459656,430.459656,428.694702,380.018311,188.575333,86.156487,62.476704,0.532559
ZTT4jet,4336026.000000,63.775519,41521.000000,0.487844,4336026.000000,4327771.000000,1056415.000000,783182.000000,2120.480469,2120.480469,2109.191406,1756.769775,979.169312,615.035400,404.165680,8.659822
EWKWMinus2Jets,4375628.000000,20.250000,41521.000000,0.192155,4375628.000000,4369211.000000,720288.000000,507583.000000,1828.505005,1828.505005,1822.692993,1608.845459,1151.986694,477.540833,310.736847,22.957361
EWKWPlus2Jets,4354695.000000,25.620000,41521.000000,0.244281,4354695.000000,4347862.000000,670893.000000,474135.000000,1453.631836,1453.631836,1449.538574,1265.442871,905.983948,353.669464,231.994339,21.985090
EWKZ2Jets_ZToLL,951316.000000,3.987000,41521.000000,0.174016,951316.000000,949653.000000,260218.000000,208076.000000,605.133789,605.133789,602.592041,523.581970,280.777893,150.991455,95.463829,3.771662
EWKZ2Jets_ZToNuNu,2943056.000000,10.010000,41521.000000,0.141222,2943056.000000,2939465.000000,765.000000,149.000000,0.168944,0.168944,0.168944,0.168944,0.000000,0.000000,0.000000,0.000000
GluGluHToTauTau,2862720.000000,2.767578,41521.000000,0.040141,2862720.000000,2859674.000000,108243.000000,63110.000000,742.237671,742.111816,735.245483,682.421204,242.494003,42.503902,40.936825,6.963125
ST_t-channel_antitop,3939990.000000,25.499250,41521.000000,0.268720,3939990.000000,3936452.000000,165393.000000,115137.000000,305.070160,305.070160,301.889069,88.386299,64.407959,20.562279,15.586287,1.351249
ST_t-channel_top,5796010.000000,42.846300,41521.000000,0.306939,5796010.000000,5790561.000000,237664.000000,162033.000000,396.218353,396.218353,393.474152,111.182220,76.990097,20.736551,17.204939,1.035333
ST_tW_antitop,7721566.000000,35.600000,41521.000000,0.191431,7721566.000000,7710690.000000,792361.000000,604444.000000,3119.564941,3119.564941,2999.836670,912.391296,661.263855,357.236145,247.410706,35.268333
ST_tW_top,7523294.000000,35.600000,41521.000000,0.196476,7523294.000000,7512649.000000,773198.000000,589804.000000,3069.659424,3069.659424,2953.547119,906.104614,644.572937,342.143250,222.757141,29.186180
