Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
data_obs,1437657216.000000,1.000000,41521.000000,1.000000,1437657216.000000,1435573504.000000,265378992.000000,109463592.000000,187616.000000,139277.000000,139268.000000,138188.000000,113847.000000,24610.000000,18171.000000,16417.000000
ZTT1,34833032.000000,1012.500000,41521.000000,1.206901,34833032.000000,34804832.000000,6481862.000000,4445469.000000,10499.000000,7472.000000,7472.000000,7453.000000,7063.000000,888.000000,815.000000,742.000000
ZTT2,9691457.000000,332.800000,41521.000000,1.425811,9691457.000000,9682264.000000,1976665.000000,1413698.000000,4913.000000,3420.000000,3420.000000,3411.000000,3133.000000,1032.000000,927.000000,830.000000
ZTT3,1147725.000000,101.800000,41521.000000,3.682797,1147725.000000,1146359.000000,248906.000000,182237.000000,758.000000,555.000000,555.000000,554.000000,507.000000,262.000000,234.000000,200.000000
ZTT4,4336026.000000,54.800000,41521.000000,0.524755,4336026.000000,4327771.000000,1056415.000000,783182.000000,3418.000000,2409.000000,2409.000000,2395.000000,2045.000000,1409.000000,1235.000000,981.000000
ZTT,57696292.000000,4954.000000,41521.000000,3.565134,57696292.000000,57644604.000000,8284241.000000,5145399.000000,9439.000000,7163.000000,7163.000000,7153.000000,6789.000000,1314.000000,1186.000000,1002.000000
ZTT,58695760.000000,4954.000000,41521.000000,3.504427,58695760.000000,58642192.000000,8431229.000000,5237895.000000,9841.000000,7411.000000,7411.000000,7391.000000,7012.000000,1412.000000,1272.000000,1098.000000
ZTT,7192473.000000,4954.000000,41521.000000,28.598652,7192473.000000,7185506.000000,1034155.000000,643045.000000,1261.000000,955.000000,955.000000,952.000000,897.000000,159.000000,138.000000,117.000000
EWKWMinus2Jets,4375628.000000,20.250000,41521.000000,0.192155,4375628.000000,4369211.000000,720288.000000,507583.000000,1478.000000,1068.000000,1068.000000,1065.000000,970.000000,401.000000,267.000000,251.000000
EWKWPlus2Jets,4354695.000000,25.620000,41521.000000,0.244281,4354695.000000,4347862.000000,670893.000000,474135.000000,1311.000000,930.000000,930.000000,927.000000,825.000000,325.000000,221.000000,200.000000
EWKZ2Jets_ZToLL,951316.000000,3.987000,41521.000000,0.174016,951316.000000,949653.000000,260218.000000,208076.000000,1194.000000,887.000000,887.000000,885.000000,776.000000,459.000000,388.000000,292.000000
EWKZ2Jets_ZToNuNu,2943056.000000,10.010000,41521.000000,0.141222,2943056.000000,2939465.000000,765.000000,149.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000
GluGluHToTauTau,2862720.000000,2.767578,41521.000000,0.040141,2862720.000000,2859674.000000,108243.000000,63110.000000,4625.000000,4584.000000,4584.000000,4574.000000,4357.000000,874.000000,870.000000,629.000000
ST_t-channel_antitop,3939990.000000,25.499250,41521.000000,0.268720,3939990.000000,3936452.000000,165393.000000,115137.000000,268.000000,181.000000,181.000000,176.000000,54.000000,18.000000,13.000000,13.000000
ST_t-channel_top,5865875.000000,42.846300,41521.000000,0.303283,5865875.000000,5860358.000000,240589.000000,164020.000000,314.000000,204.000000,204.000000,203.000000,58.000000,17.000000,13.000000,12.000000
