Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
data_obs,1437657216.000000,1.000000,41521.000000,1.000000,1437657216.000000,1435573504.000000,486449600.000000,135383872.000000,251418.000000,186150.000000,186150.000000,184375.000000,150929.000000,30029.000000,22618.000000,2263.000000
ZTT1,34833032.000000,1012.500000,41521.000000,1.064474,34833032.000000,34804832.000000,8376501.000000,7144186.000000,24471.000000,19031.000000,19031.000000,18929.000000,18048.000000,1354.000000,1265.000000,135.000000
ZTT2,9691457.000000,332.800000,41521.000000,1.257551,9691457.000000,9682264.000000,2447029.000000,2119049.000000,10005.000000,7346.000000,7346.000000,7283.000000,6704.000000,1554.000000,1426.000000,145.000000
ZTT3,1147725.000000,101.800000,41521.000000,3.248190,1147725.000000,1146359.000000,297138.000000,258435.000000,1395.000000,1032.000000,1032.000000,1025.000000,916.000000,355.000000,328.000000,64.000000
ZTT4,4336026.000000,54.800000,41521.000000,0.462829,4336026.000000,4327771.000000,1214709.000000,1055527.000000,5809.000000,4259.000000,4259.000000,4232.000000,3546.000000,1932.000000,1696.000000,362.000000
ZTT,57696292.000000,4954.000000,41521.000000,3.144413,57696292.000000,57644604.000000,11537950.000000,9474621.000000,27408.000000,22867.000000,22867.000000,22763.000000,21858.000000,1890.000000,1687.000000,220.000000
ZTT,58695760.000000,4954.000000,41521.000000,3.090870,58695760.000000,58642192.000000,11744150.000000,9645372.000000,27697.000000,23098.000000,23098.000000,22985.000000,22172.000000,1949.000000,1727.000000,215.000000
ZTT,7192473.000000,4954.000000,41521.000000,25.223725,7192473.000000,7185506.000000,1438117.000000,1181141.000000,3487.000000,2942.000000,2942.000000,2925.000000,2804.000000,233.000000,224.000000,29.000000
EWKWMinus2Jets,4375628.000000,20.250000,41521.000000,0.169479,4375628.000000,4369211.000000,992317.000000,823098.000000,3041.000000,2188.000000,2188.000000,2179.000000,1998.000000,612.000000,413.000000,37.000000
EWKWPlus2Jets,4354695.000000,25.620000,41521.000000,0.215453,4354695.000000,4347862.000000,933383.000000,771729.000000,2659.000000,1824.000000,1824.000000,1814.000000,1641.000000,471.000000,317.000000,25.000000
EWKZ2Jets_ZToLL,951316.000000,3.987000,41521.000000,0.153480,951316.000000,949653.000000,306615.000000,280964.000000,2058.000000,1544.000000,1544.000000,1534.000000,1369.000000,656.000000,585.000000,135.000000
