Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
data_obs,739815296.000000,1.000000,41521.000000,1.000000,739815296.000000,738897664.000000,479948384.000000,340692640.000000,694544.000000,693989.000000,670724.000000,581246.000000,331677.000000,44783.000000,33298.000000,2787.000000
DY_LO,48281216.000000,5765.400000,41521.000000,4.958143,48281216.000000,48240400.000000,9753126.000000,8817344.000000,40921.535156,40916.902344,39905.832031,37981.179688,12227.886719,1117.654419,925.085632,51.701313
DY_LO,49082156.000000,5765.400000,41521.000000,4.877234,49082156.000000,49038832.000000,9918775.000000,8967757.000000,41085.515625,41083.652344,40135.222656,38218.445312,12435.183594,1159.596680,960.820068,53.586891
TTTo2L2Nu,8634992.000000,88.290000,41521.000000,0.424539,8634992.000000,8625480.000000,3177574.000000,2889619.000000,148873.187500,148869.265625,122324.203125,21694.626953,16705.943359,7721.231445,4725.238281,1170.030762
TTToHadronic,42357944.000000,377.960000,41521.000000,0.370492,42357944.000000,42296216.000000,59274.000000,18850.000000,146.946594,146.017426,142.117416,28.804659,9.590722,1.943711,1.943711,0.000000
TTToSemiLeptonic,40888764.000000,365.350000,41521.000000,0.370999,40888764.000000,40836304.000000,8293577.000000,7362218.000000,55861.351562,55858.570312,54506.992188,9139.602539,6124.832031,2782.290283,2134.409180,286.749359
ZTTinc,49082156.000000,5765.400000,41521.000000,4.877000,49082156.000000,49038832.000000,9918775.000000,8967757.000000,41085.515625,41083.652344,40135.222656,38218.445312,12435.183594,1159.596680,960.820068,53.586891
ZTT1jet,34833032.000000,1178.334174,41521.000000,1.090000,34833032.000000,34804832.000000,8376501.000000,7813039.000000,41567.082031,41563.351562,40670.742188,38394.980469,12577.835938,1026.889771,900.699890,42.162437
ZTT2jet,9691457.000000,387.308260,41521.000000,1.230000,9691457.000000,9682264.000000,2447029.000000,2304548.000000,15922.967773,15921.078125,15575.144531,14140.929688,4963.586426,1218.230225,1025.301880,42.415550
ZTT3jet,1147725.000000,118.473500,41521.000000,2.280000,1147725.000000,1146359.000000,297138.000000,281515.000000,2224.007568,2224.007568,2169.214844,1889.216309,631.003906,244.054947,204.757370,14.372770
ZTT4jet,4336026.000000,63.775519,41521.000000,0.540000,4336026.000000,4327771.000000,1214709.000000,1155626.000000,9258.724609,9258.724609,8996.103516,7390.136230,2568.845703,1477.182373,1133.223755,92.961800
EWKWMinus2Jets,4375628.000000,20.250000,41521.000000,0.192155,4375628.000000,4369211.000000,992317.000000,895755.000000,4754.617188,4753.636719,4683.088379,4245.294922,3036.239502,933.667480,654.531372,46.996239
EWKWPlus2Jets,4354695.000000,25.620000,41521.000000,0.244281,4354695.000000,4347862.000000,933383.000000,838140.000000,3925.603516,3925.603516,3865.349609,3451.536865,2443.290039,722.322205,510.102661,33.530930
EWKZ2Jets_ZToLL,951316.000000,3.987000,41521.000000,0.174016,951316.000000,949653.000000,306615.000000,295030.000000,3400.748047,3400.748047,3305.840088,2905.463379,941.899963,426.463684,334.116272,35.423695
EWKZ2Jets_ZToNuNu,2943056.000000,10.010000,41521.000000,0.141222,2943056.000000,2939465.000000,484.000000,162.000000,1.943685,1.943685,1.943685,0.983943,0.000000,0.000000,0.000000,0.000000
GluGluHToTauTau,2862720.000000,2.767578,41521.000000,0.040141,2862720.000000,2859674.000000,195833.000000,158667.000000,28540.144531,28540.144531,27859.595703,26441.535156,7228.752441,723.178040,707.217468,108.319695
ST_t-channel_antitop,3939990.000000,25.499250,41521.000000,0.268720,3939990.000000,3936452.000000,249717.000000,219195.000000,784.281433,784.281433,768.876892,239.193451,162.437988,43.335327,30.922417,1.943418
ST_t-channel_top,5796010.000000,42.846300,41521.000000,0.306939,5796010.000000,5790561.000000,353028.000000,309693.000000,934.139771,934.139771,912.082581,305.226593,218.659286,46.747612,40.001709,1.879205
ST_tW_antitop,7721566.000000,35.600000,41521.000000,0.191431,7721566.000000,7710690.000000,1044328.000000,948183.000000,21539.425781,21537.564453,18559.830078,6066.396973,4533.480469,2043.498657,1290.284546,251.033752
ST_tW_top,7523294.000000,35.600000,41521.000000,0.196476,7523294.000000,7512649.000000,1019543.000000,926438.000000,20962.441406,20962.441406,18173.720703,5968.058105,4467.705566,2040.660278,1254.883423,218.863983
VBFHToTauTau,2971508.000000,0.237131,41521.000000,0.003313,2971508.000000,2965823.000000,266723.000000,229554.000000,39394.156250,39392.257812,38194.937500,35274.457031,8128.720215,3183.475830,3151.164062,610.557190
WWTo2L2Nu,15934.000000,12.178000,41521.000000,31.733572,15934.000000,15915.000000,4744.000000,4225.000000,147.552628,147.552628,118.706100,110.019547,81.263519,24.863928,15.284037,2.927654
WWToLNuQQ,9956583.000000,10.710000,41521.000000,0.044663,9956583.000000,9946013.000000,1673019.000000,1483877.000000,10416.368164,10415.433594,10246.166016,9517.199219,6905.687012,2002.993164,1537.869385,97.624306
WWW,210490.000000,0.208600,41521.000000,0.041148,210490.000000,209914.000000,37488.000000,34184.000000,957.681030,957.681030,755.298889,684.114380,537.118164,301.452362,166.133972,58.533192
WWZ,221622.000000,0.165100,41521.000000,0.030932,221622.000000,220847.000000,35415.000000,32775.000000,948.821716,948.821716,755.039795,621.388672,439.819916,281.718658,132.259247,54.537071
WZTo1L1Nu2Q,11263154.000000,10.710000,41521.000000,0.039482,11263154.000000,11248929.000000,1922137.000000,1709963.000000,7433.219238,7431.316895,7329.733887,5974.508789,4220.063965,1412.633911,1006.932678,84.601288
WZTo2L2Q,16664610.000000,5.595000,41521.000000,0.013940,16664610.000000,16643809.000000,2778619.000000,2608783.000000,27345.285156,27345.285156,26633.269531,23800.130859,8381.656250,3661.076660,2895.506104,243.756927
WZTo3LNu,6820606.000000,4.430000,41521.000000,0.026968,6820606.000000,6813277.000000,1413645.000000,1267459.000000,37639.246094,37638.238281,28291.974609,26499.373047,19318.949219,8266.443359,4819.005371,974.777039
WZZ,219660.000000,0.055650,41521.000000,0.010519,219660.000000,218984.000000,26595.000000,24719.000000,545.296875,545.296875,420.113403,324.201416,196.679062,132.139206,76.533379,24.950020
WMinusHToTauTau,3442926.000000,0.033400,41521.000000,0.000403,3442926.000000,3436685.000000,481599.000000,425560.000000,69113.000000,69111.062500,59216.503906,54126.035156,28095.964844,11556.349609,8470.559570,1614.931763
