Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
data_obs,739815296.000000,1.000000,41521.000000,1.000000,739815296.000000,738897664.000000,479948384.000000,328534048.000000,411494.000000,302145.000000,302145.000000,300123.000000,260112.000000,30736.000000,23739.000000,2420.000000
DY_LO,48281216.000000,5765.400000,41521.000000,4.958143,48281216.000000,48240400.000000,9753126.000000,8727205.000000,23032.000000,16639.636719,16639.636719,16566.830078,15910.049805,1329.524292,1185.074707,166.291092
DY_LO,49082156.000000,5765.400000,41521.000000,4.877234,49082156.000000,49038832.000000,9918775.000000,8876278.000000,23029.000000,16681.847656,16681.847656,16591.326172,15942.026367,1261.695923,1123.896362,177.122375
TTTo2L2Nu,8634992.000000,88.290000,41521.000000,0.424539,8634992.000000,8625480.000000,3177574.000000,2863761.000000,71816.000000,58157.132812,58157.132812,56501.914062,9978.683594,4477.547852,2830.583740,648.619568
TTToHadronic,42357944.000000,377.960000,41521.000000,0.370492,42357944.000000,42296216.000000,59274.000000,13502.000000,105.000000,44.346001,44.346001,44.346001,7.647612,1.704396,1.704396,0.000000
TTToSemiLeptonic,40888764.000000,365.350000,41521.000000,0.370999,40888764.000000,40836304.000000,8293577.000000,7292744.000000,39293.000000,23605.023438,23605.023438,23314.386719,3928.945068,1691.589600,1281.828491,166.569031
ZTTinc,49082156.000000,5765.400000,41521.000000,4.877000,49082156.000000,49038832.000000,9918775.000000,8876278.000000,23029.000000,16681.847656,16681.847656,16591.326172,15942.026367,1261.695923,1123.896362,177.122375
ZTT1jet,34833032.000000,1178.334174,41521.000000,1.090000,34833032.000000,34804832.000000,8376501.000000,7743240.000000,25827.000000,17103.464844,17103.464844,17007.093750,16224.384766,1227.127808,1139.569214,121.855721
ZTT2jet,9691457.000000,387.308260,41521.000000,1.230000,9691457.000000,9682264.000000,2447029.000000,2287712.000000,10574.000000,6622.778809,6622.778809,6565.470215,6042.188965,1396.906494,1269.809937,131.383682
ZTT3jet,1147725.000000,118.473500,41521.000000,2.280000,1147725.000000,1146359.000000,297138.000000,279635.000000,1477.000000,934.013855,934.013855,928.071594,832.428345,327.112640,296.510834,55.628426
ZTT4jet,4336026.000000,63.775519,41521.000000,0.540000,4336026.000000,4327771.000000,1214709.000000,1148504.000000,6176.000000,3848.716553,3848.716553,3823.066895,3209.512451,1750.843628,1517.234009,316.772064
EWKWMinus2Jets,4375628.000000,20.250000,41521.000000,0.192155,4375628.000000,4369211.000000,992317.000000,886362.000000,3267.000000,2010.143677,2010.143677,2001.650024,1836.819214,553.479980,365.786255,34.219437
EWKWPlus2Jets,4354695.000000,25.620000,41521.000000,0.244281,4354695.000000,4347862.000000,933383.000000,829225.000000,2822.000000,1657.179077,1657.179077,1646.983276,1493.272949,428.397858,282.899902,21.395159
EWKZ2Jets_ZToLL,951316.000000,3.987000,41521.000000,0.174016,951316.000000,949653.000000,306615.000000,293220.000000,2145.000000,1368.990967,1368.990967,1358.950928,1210.586304,571.265381,506.260803,115.960182
EWKZ2Jets_ZToNuNu,2943056.000000,10.010000,41521.000000,0.141222,2943056.000000,2939465.000000,484.000000,124.000000,2.000000,1.729880,1.729880,1.729880,0.875710,0.000000,0.000000,0.000000
GluGluHToTauTau,2862720.000000,2.767578,41521.000000,0.040141,2862720.000000,2859674.000000,195833.000000,153757.000000,13405.000000,11366.976562,11366.976562,11320.095703,10870.401367,1317.652832,1311.673706,329.611969
ST_t-channel_antitop,3939990.000000,25.499250,41521.000000,0.268720,3939990.000000,3936452.000000,249717.000000,216586.000000,610.000000,346.926178,346.926178,344.344513,100.930344,27.395485,20.498198,1.697999
ST_t-channel_top,5796010.000000,42.846300,41521.000000,0.306939,5796010.000000,5790561.000000,353028.000000,305817.000000,734.000000,383.270111,383.270111,381.538940,134.037857,25.598370,21.235466,0.818322
ST_tW_antitop,7721566.000000,35.600000,41521.000000,0.191431,7721566.000000,7710690.000000,1044328.000000,939137.000000,11369.000000,8631.800781,8631.800781,8482.541992,2799.722656,1216.194214,788.131531,138.165161
ST_tW_top,7523294.000000,35.600000,41521.000000,0.196476,7523294.000000,7512649.000000,1019543.000000,917635.000000,11006.000000,8422.870117,8422.870117,8264.137695,2743.204102,1191.083374,745.032898,127.948029
VBFHToTauTau,2971508.000000,0.237131,41521.000000,0.003313,2971508.000000,2965823.000000,266723.000000,221491.000000,18615.000000,15640.491211,15640.491211,15509.935547,14495.264648,6107.404297,6079.858398,1604.383789
WJetsToLNu,44587448.000000,61526.700000,41521.000000,57.295275,44587448.000000,42986692.000000,5478655.000000,5394793.500000,3181.306885,2164.399170,2164.399170,2158.625488,2106.667969,93.717575,79.871002,3.456312
WJetsToLNu_HT100To200,35737472.000000,1642.584587,41521.000000,1.908410,35737472.000000,35705832.000000,6075775.000000,6645080.000000,18104.906250,13263.945312,13263.945312,13198.864258,12429.722656,4019.811279,3055.658936,93.176453
WJetsToLNu_HT1200To2500,19991892.000000,1.624266,41521.000000,0.003373,19991892.000000,19349042.000000,3934960.000000,4158885.750000,4068.064453,1998.263794,1998.263794,1979.660767,1587.990234,1184.695068,482.213623,232.287476
WJetsToLNu_HT200To400,21192212.000000,439.284517,41521.000000,0.860671,21192212.000000,21159894.000000,3854699.000000,3502122.000000,7691.000000,4631.874023,4631.874023,4605.298340,4166.233398,2620.386963,1676.134277,203.297394
WJetsToLNu_HT2500ToInf,20629584.000000,0.039324,41521.000000,0.000079,20629584.000000,18944672.000000,4023783.000000,4158045.500000,3793.331299,1778.167358,1778.167358,1762.603149,1337.320557,991.359375,439.479004,263.871307
