Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
data_obs,739815296.000000,1.000000,41521.000000,1.000000,739815296.000000,738897664.000000,479948384.000000,328534048.000000,597336.000000,393934.000000,393934.000000,391059.000000,391059.000000,130820.000000,27376.000000,19359.000000
DY_LO,48281216.000000,5765.400000,41521.000000,4.958143,48281216.000000,48240400.000000,9753126.000000,8727205.000000,17778.000000,10069.474609,10069.474609,10007.819336,10007.819336,1438.279785,332.858398,227.430588
DY_LO,49082156.000000,5765.400000,41521.000000,4.877234,49082156.000000,49038832.000000,9918775.000000,8876278.000000,17644.000000,9953.705078,9953.705078,9889.550781,9889.550781,1446.302734,338.681885,229.716507
TTTo2L2Nu,8634992.000000,88.290000,41521.000000,0.424539,8634992.000000,8625480.000000,3177574.000000,2863761.000000,39288.000000,27225.990234,27225.990234,24995.363281,24995.363281,13912.131836,6987.853516,4449.233887
TTToHadronic,42357944.000000,377.960000,41521.000000,0.370492,42357944.000000,42296216.000000,59274.000000,13502.000000,191.000000,80.257652,80.257652,79.385117,79.385117,5.900746,4.209882,4.209882
TTToSemiLeptonic,40888764.000000,365.350000,41521.000000,0.370999,40888764.000000,40836304.000000,8293577.000000,7292744.000000,81356.000000,47302.281250,47302.281250,46694.988281,46694.988281,16429.230469,8128.461426,6061.210938
ZTTinc,49082156.000000,5765.400000,41521.000000,4.877000,49082156.000000,49038832.000000,9918775.000000,8876278.000000,17644.000000,9953.705078,9953.705078,9889.550781,9889.550781,1446.302734,338.681885,229.716507
ZTT1jet,34833032.000000,1178.334174,41521.000000,1.090000,34833032.000000,34804832.000000,8376501.000000,7743240.000000,25236.000000,12802.471680,12802.471680,12710.006836,12710.006836,2107.698242,264.203003,197.918823
ZTT2jet,9691457.000000,387.308260,41521.000000,1.230000,9691457.000000,9682264.000000,2447029.000000,2287712.000000,12102.000000,5951.103027,5951.103027,5906.912598,5906.912598,1071.343262,312.881104,227.188187
ZTT3jet,1147725.000000,118.473500,41521.000000,2.280000,1147725.000000,1146359.000000,297138.000000,279635.000000,1789.000000,907.980408,907.980408,901.980042,901.980042,184.043777,90.447830,60.853893
ZTT4jet,4336026.000000,63.775519,41521.000000,0.540000,4336026.000000,4327771.000000,1214709.000000,1148504.000000,7922.000000,3874.828613,3874.828613,3843.277100,3843.277100,1005.970947,669.170593,390.210724
EWKWMinus2Jets,4375628.000000,20.250000,41521.000000,0.192155,4375628.000000,4369211.000000,992317.000000,886362.000000,6141.000000,3776.308838,3776.308838,3746.410156,3746.410156,1461.980225,552.309448,345.706177
EWKWPlus2Jets,4354695.000000,25.620000,41521.000000,0.244281,4354695.000000,4347862.000000,933383.000000,829225.000000,5444.000000,3158.353271,3158.353271,3139.727295,3139.727295,1098.661499,384.693726,236.795227
EWKZ2Jets_ZToLL,951316.000000,3.987000,41521.000000,0.174016,951316.000000,949653.000000,306615.000000,293220.000000,2266.000000,1122.919678,1122.919678,1112.630493,1112.630493,233.660370,120.347473,63.989891
EWKZ2Jets_ZToNuNu,2943056.000000,10.010000,41521.000000,0.141222,2943056.000000,2939465.000000,484.000000,124.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GluGluHToTauTau,2862720.000000,2.767578,41521.000000,0.040141,2862720.000000,2859674.000000,195833.000000,153757.000000,4749.000000,3931.649658,3931.649658,3902.695557,3902.695557,300.441620,33.288132,31.558491
ST_t-channel_antitop,3939990.000000,25.499250,41521.000000,0.268720,3939990.000000,3936452.000000,249717.000000,216586.000000,1111.000000,620.372742,620.372742,610.076843,610.076843,229.027649,83.735939,66.743401
ST_t-channel_top,5796010.000000,42.846300,41521.000000,0.306939,5796010.000000,5790561.000000,353028.000000,305817.000000,1465.000000,789.392883,789.392883,780.012268,780.012268,279.683868,98.088127,74.134987
ST_tW_antitop,7721566.000000,35.600000,41521.000000,0.191431,7721566.000000,7710690.000000,1044328.000000,939137.000000,10264.000000,6677.582031,6677.582031,6470.969238,6470.969238,2849.362061,1478.620850,944.692017
ST_tW_top,7523294.000000,35.600000,41521.000000,0.196476,7523294.000000,7512649.000000,1019543.000000,917635.000000,9969.000000,6478.700195,6478.700195,6274.461914,6274.461914,2798.324951,1446.368408,907.819031
VBFHToTauTau,2971508.000000,0.237131,41521.000000,0.003313,2971508.000000,2965823.000000,266723.000000,221491.000000,6773.000000,5339.951660,5339.951660,5271.379883,5271.379883,400.399048,160.459198,152.704681
WJetsToLNu,44587448.000000,61526.700000,41521.000000,57.295275,44587448.000000,42986692.000000,5478655.000000,5394793.500000,5436.186035,3708.396240,3708.396240,3696.819092,3696.819092,1488.355957,90.657417,71.921761
WJetsToLNu_HT100To200,35737472.000000,1642.584587,41521.000000,1.908410,35737472.000000,35705832.000000,6075775.000000,6645080.000000,35898.730469,25228.712891,25228.712891,25115.796875,25115.796875,9585.949219,3835.904297,2796.387695
WJetsToLNu_HT1200To2500,19991892.000000,1.624266,41521.000000,0.003373,19991892.000000,19349042.000000,3934960.000000,4158885.750000,9677.859375,5000.185059,5000.185059,4959.030762,4959.030762,2152.852539,1659.181519,687.096924
WJetsToLNu_HT200To400,21192212.000000,439.284517,41521.000000,0.860671,21192212.000000,21159894.000000,3854699.000000,3502122.000000,16273.000000,9682.234375,9682.234375,9627.417969,9627.417969,3554.720947,2336.499268,1395.004150
WJetsToLNu_HT2500ToInf,20629584.000000,0.039324,41521.000000,0.000079,20629584.000000,18944672.000000,4023783.000000,4158045.500000,9290.642578,4519.870117,4519.870117,4484.274414,4484.274414,2253.373779,1741.820923,753.745850
WJetsToLNu_HT400To600,13664751.000000,59.731459,41521.000000,0.181497,13664751.000000,13616740.000000,2641312.000000,2397852.000000,8241.000000,4466.750488,4466.750488,4439.325684,4439.325684,1613.348022,1294.224487,588.810486
WJetsToLNu_HT600To800,21582308.000000,14.703880,41521.000000,0.028288,21582308.000000,21431606.000000,4224778.000000,4643256.500000,13326.726562,7612.850098,7612.850098,7566.674316,7566.674316,2751.381836,2221.161865,945.172546
WJetsToLNu_HT800To1200,20272990.000000,6.741314,41521.000000,0.013807,20272990.000000,19998372.000000,3995715.000000,4310008.500000,11160.815430,6028.241699,6028.241699,5978.582520,5978.582520,2409.422119,1931.678467,758.667786
WJetsToLNu_inc,33043732.000000,61526.700000,41521.000000,32.907500,33043732.000000,31853712.000000,4056120.000000,3993804.250000,4072.323730,2767.271240,2767.271240,2754.452637,2754.452637,1090.023682,76.681732,68.465607
WJetsToLNu_inc,44587448.000000,61526.700000,41521.000000,32.907500,44587448.000000,42986692.000000,5478655.000000,5394793.500000,5436.186035,3708.396240,3708.396240,3696.819092,3696.819092,1488.355957,90.657417,71.921761
W1JetsToLNu,54106928.000000,11778.363800,41521.000000,7.090000,54106928.000000,54075064.000000,8025702.000000,8203563.500000,22836.882812,16642.175781,16642.175781,16601.634766,16601.634766,6380.323730,258.617737,189.882477
W2JetsToLNu,6570442.000000,3849.219740,41521.000000,13.967000,6570442.000000,6565649.000000,1030717.000000,1082681.875000,5172.669434,3709.842285,3709.842285,3695.918213,3695.918213,1446.004761,262.095886,207.842514
W3JetsToLNu,19669692.000000,1166.047870,41521.000000,2.200000,19669692.000000,19651860.000000,3158264.000000,3381401.750000,18836.253906,13236.022461,13236.022461,13187.119141,13187.119141,5091.812012,1762.086182,1276.361816
W4JetsToLNu,11303425.000000,593.055246,41521.000000,2.040000,11303425.000000,11287436.000000,1846813.000000,2011684.125000,11795.056641,7920.207031,7920.207031,7866.170898,7866.170898,2939.835693,1476.926758,984.876099
WWTo2L2Nu,15934.000000,12.178000,41521.000000,31.733572,15934.000000,15915.000000,4744.000000,4177.000000,43.000000,33.435074,33.435074,33.435074,33.435074,19.772427,4.280029,1.725660
WWToLNuQQ,9956583.000000,10.710000,41521.000000,0.044663,9956583.000000,9946013.000000,1673019.000000,1467648.000000,12135.000000,7798.254395,7798.254395,7760.656738,7760.656738,3013.724609,977.991943,707.789062
WWW,210490.000000,0.208600,41521.000000,0.041148,210490.000000,209914.000000,37488.000000,33856.000000,489.000000,274.982025,274.982025,246.148148,246.148148,131.129913,64.599121,42.269863
WWZ,221622.000000,0.165100,41521.000000,0.030932,221622.000000,220847.000000,35415.000000,32516.000000,418.000000,232.172043,232.172043,207.672607,207.672607,115.638153,82.393761,39.183475
WZTo1L1Nu2Q,11263154.000000,10.710000,41521.000000,0.039482,11263154.000000,11248929.000000,1922137.000000,1691252.000000,13076.000000,6149.330566,6149.330566,6102.328125,6102.328125,2385.206787,896.580200,584.019897
WZTo2L2Q,16664610.000000,5.595000,41521.000000,0.013940,16664610.000000,16643809.000000,2778619.000000,2589817.000000,23743.000000,11352.279297,11352.279297,11220.889648,11220.889648,2585.553223,1407.219971,847.319153
WZTo3LNu,6820606.000000,4.430000,41521.000000,0.026968,6820606.000000,6813277.000000,1413645.000000,1254467.000000,13094.000000,6049.205078,6049.205078,5243.770508,5243.770508,2596.821533,1260.598389,677.276306
WZZ,219660.000000,0.055650,41521.000000,0.010519,219660.000000,218984.000000,26595.000000,24513.000000,325.000000,149.734467,149.734467,130.909286,130.909286,55.585590,34.219780,15.511496
WMinusHToTauTau,3442926.000000,0.033400,41521.000000,0.000403,3442926.000000,3436685.000000,481599.000000,416098.000000,19215.000000,10681.989258,10681.989258,9471.262695,9471.262695,2826.040527,1354.690186,938.688660
WPlusHToTauTau,3777578.000000,0.052000,41521.000000,0.000572,3777578.000000,3770072.000000,524111.000000,453024.000000,20000.000000,11126.511719,11126.511719,9918.786133,9918.786133,2985.689209,1466.343018,959.906128
ZHToTauTau,4652054.000000,0.055427,41521.000000,0.000495,4652054.000000,4643296.000000,506100.000000,433881.000000,17586.000000,10916.459961,10916.459961,10115.870117,10115.870117,2811.090332,1591.745850,1176.175171
ZJetsToNuNu_HT100To200,22702468.000000,280.920000,41521.000000,0.513780,22702468.000000,22686184.000000,2407.000000,506.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT1200To2500,334332.000000,0.287400,41521.000000,0.035692,334332.000000,323647.000000,213.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT200To400,21618510.000000,77.640000,41521.000000,0.149117,21618510.000000,21592994.000000,3849.000000,757.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT2500ToInf,6446.000000,0.006933,41521.000000,0.044658,6446.000000,5906.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT400To600,9094890.000000,10.671000,41521.000000,0.048716,9094890.000000,9066725.000000,2431.000000,374.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT600To800,5664642.000000,2.561100,41521.000000,0.018772,5664642.000000,5627442.000000,1956.000000,249.000000,2.000000,0.875710,0.875710,0.875710,0.875710,0.875710,0.875710,0.000000
ZJetsToNuNu_HT800To1200,2041779.000000,1.177800,41521.000000,0.023951,2041779.000000,2014718.000000,886.000000,86.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZZTo2L2Q,17768294.000000,3.220000,41521.000000,0.007525,17768294.000000,17747844.000000,3293444.000000,3076183.000000,26964.000000,12910.145508,12910.145508,12746.134766,12746.134766,2908.046631,1452.632935,944.816101
ZZTo4L,86103680.000000,1.212000,41521.000000,0.000584,86103680.000000,86029168.000000,14804674.000000,13117106.000000,118978.000000,53929.562500,53929.562500,44933.125000,44933.125000,16361.316406,7678.079590,4082.730225
ZZTo4L,10994317.000000,1.212000,41521.000000,0.004577,10994317.000000,10984736.000000,1888166.000000,1672898.000000,15135.000000,6838.027832,6838.027832,5664.917969,5664.917969,1991.236084,905.511230,482.169128
ZZZ,213514.000000,0.013980,41521.000000,0.002719,213514.000000,213085.000000,19404.000000,18408.000000,255.000000,121.382187,121.382187,112.134071,112.134071,53.830944,40.979233,27.367508
VBFHToWWTo2L2Nu,499278.000000,0.085800,41521.000000,0.007135,499278.000000,498740.000000,123059.000000,106127.000000,906.000000,577.626465,577.626465,519.597473,519.597473,142.559784,80.162376,74.974625
WWTo2L2Nu_DoubleScattering,968000.000000,1.620000,41521.000000,0.069488,968000.000000,967414.000000,216744.000000,180161.000000,984.000000,468.352173,468.352173,427.250854,427.250854,208.016525,46.869793,39.280998
WZTo1L3Nu,2681223.000000,3.050000,41521.000000,0.047232,2681223.000000,2678565.000000,468519.000000,412102.000000,881.000000,546.620361,546.620361,541.540466,541.540466,345.273743,173.524353,111.205032
WpWpJJ_EWK,144938.000000,0.026150,41521.000000,0.007491,144938.000000,144433.000000,57028.000000,52770.000000,719.000000,142.938248,142.938248,97.594986,97.594986,47.097168,33.354076,15.331273
WpWpJJ_QCD,149484.000000,0.026150,41521.000000,0.007263,149484.000000,148856.000000,48867.000000,44338.000000,603.000000,176.316986,176.316986,133.879929,133.879929,82.858498,54.055534,23.970480
ZZTo2Q2Nu,36986756.000000,4.030000,41521.000000,0.004524,36986756.000000,36955536.000000,8478.000000,2026.000000,10.000000,0.810152,0.810152,0.810152,0.810152,0.854170,0.000000,0.000000
ZZTo2Q2Nu,2251465.000000,4.030000,41521.000000,0.074320,2251465.000000,2249497.000000,553.000000,145.000000,1.000000,0.875970,0.875970,0.875970,0.875970,0.875970,0.000000,0.000000
