Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
data_obs,184953840.000000,1.000000,10380.250000,1.000000,184953840.000000,184724448.000000,119985560.000000,82132440.000000,243307.000000,170023.000000,169970.000000,164308.000000,143037.000000,81648.000000,10840.000000,8128.000000
DY_LO,48281216.000000,5765.400000,10380.250000,1.239536,48281216.000000,48240400.000000,9753126.000000,8683523.000000,51193.707031,41565.703125,41565.703125,40578.328125,38688.636719,12418.786133,1092.061523,927.204102
DY_LO,49082156.000000,5765.400000,10380.250000,1.219309,49082156.000000,49038832.000000,9918775.000000,8832188.000000,51552.171875,41883.933594,41882.996094,40946.070312,39039.527344,12696.383789,1130.278687,949.460938
TTTo2L2Nu,8634992.000000,88.290000,10380.250000,0.106135,8634992.000000,8625480.000000,3177574.000000,2835791.750000,161077.015625,146645.640625,146645.640625,120582.031250,21325.363281,16428.003906,7589.882324,4650.349121
TTToHadronic,42357944.000000,377.960000,10380.250000,0.092623,42357944.000000,42296216.000000,59274.000000,17365.677734,279.074738,136.075409,136.075409,132.200958,25.880840,7.683917,1.943711,1.943711
TTToSemiLeptonic,40888764.000000,365.350000,10380.250000,0.092750,40888764.000000,40836304.000000,8293577.000000,7234240.000000,82641.460938,55024.617188,55024.617188,53699.996094,8987.214844,6012.720215,2726.673584,2100.501709
ZTTinc,48281216.000000,5765.400000,10380.250000,1.219300,48281216.000000,48240400.000000,9753126.000000,8683523.000000,51193.707031,41565.703125,41565.703125,40578.328125,38688.636719,12418.786133,1092.061523,927.204102
ZTT1jet,34833032.000000,1178.334174,10380.250000,0.272000,34833032.000000,34804832.000000,8376501.000000,7698464.500000,56100.652344,41827.234375,41824.437500,40945.800781,38675.722656,12623.869141,1004.930664,900.645569
ZTT2jet,9691457.000000,387.308260,10380.250000,0.309500,9691457.000000,9682264.000000,2447029.000000,2271823.750000,22516.548828,15917.208984,15917.208984,15577.331055,14138.665039,4950.030273,1205.461792,1020.472534
ZTT3jet,1147725.000000,118.473500,10380.250000,0.570200,1147725.000000,1146359.000000,297138.000000,277401.718750,3150.862305,2238.055420,2238.055420,2184.021729,1904.971069,625.583618,237.119110,198.576706
ZTT4jet,4336026.000000,63.775519,10380.250000,0.135600,4336026.000000,4327771.000000,1214709.000000,1136738.000000,13089.766602,9221.614258,9221.614258,8964.788086,7370.841797,2551.776855,1451.148193,1117.935669
EWKWMinus2Jets,4375628.000000,20.250000,10380.250000,0.048039,4375628.000000,4369211.000000,992317.000000,875289.875000,6744.926270,4661.658203,4661.658203,4592.382812,4164.288574,2980.129883,908.300232,639.986755
EWKWPlus2Jets,4354695.000000,25.620000,10380.250000,0.061070,4354695.000000,4347862.000000,933383.000000,818212.375000,5920.762207,3867.430664,3867.430664,3809.593018,3401.228760,2407.839111,708.832031,500.218018
