Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
data_obs,184953840.000000,1.000000,10380.250000,1.000000,184953840.000000,184724448.000000,119985560.000000,82350280.000000,736202.000000,109464.398438,109452.132812,107679.351562,94349.882812,61227.058594,8523.732422,6219.725586
DY_LO,48281216.000000,5765.400000,10380.250000,1.239536,48281216.000000,48240400.000000,9753126.000000,8683523.000000,71181.390625,10141.285156,10140.931641,9975.158203,9329.593750,4065.274658,684.565369,500.868378
DY_LO,49082156.000000,5765.400000,10380.250000,1.219309,49082156.000000,49038832.000000,9918775.000000,8832188.000000,72443.015625,10350.785156,10350.063477,10182.092773,9516.161133,4142.381836,686.284546,504.436035
TTTo2L2Nu,8634992.000000,88.290000,10380.250000,0.106135,8634992.000000,8625480.000000,3177574.000000,2835791.750000,155719.515625,26740.458984,26740.109375,20228.855469,3449.049561,2651.785645,1277.604248,852.954285
TTToHadronic,42357944.000000,377.960000,10380.250000,0.092623,42357944.000000,42296216.000000,59274.000000,17365.677734,1363.939087,160.266052,160.084412,156.929886,26.609575,7.237841,3.591021,3.591021
TTToSemiLeptonic,40888764.000000,365.350000,10380.250000,0.092750,40888764.000000,40836304.000000,8293577.000000,7234240.000000,424970.125000,64874.628906,64874.628906,63684.757812,10352.264648,6794.971680,3062.716064,2319.637939
ZTTinc,49082156.000000,5765.400000,10380.250000,1.219300,49082156.000000,49038832.000000,9918775.000000,8832188.000000,72443.015625,10350.785156,10350.063477,10182.092773,9516.161133,4142.381836,686.284546,504.436035
ZTT1jet,34833032.000000,1178.334174,10380.250000,0.272600,34833032.000000,34804832.000000,8376501.000000,7698464.500000,111356.570312,14702.655273,14702.655273,14490.870117,13750.239258,6122.072754,415.520172,326.425812
ZTT2jet,9691457.000000,387.308260,10380.250000,0.309500,9691457.000000,9682264.000000,2447029.000000,2271823.750000,54868.125000,7005.304688,7005.304688,6887.888184,6355.316895,3049.635986,766.159668,570.980347
ZTT3jet,1147725.000000,118.473500,10380.250000,0.570200,1147725.000000,1146359.000000,297138.000000,277401.718750,8183.761719,1054.463135,1054.463135,1038.908325,915.424805,450.571014,184.263123,125.720703
ZTT4jet,4336026.000000,63.775519,10380.250000,0.135600,4336026.000000,4327771.000000,1214709.000000,1136738.000000,37580.050781,4692.810547,4692.810547,4605.998535,3834.083008,2028.634644,1155.294800,735.765259
EWKWMinus2Jets,4375628.000000,20.250000,10380.250000,0.048039,4375628.000000,4369211.000000,992317.000000,875289.875000,29913.820312,4842.159180,4842.159180,4788.389648,4301.750000,3063.282227,936.079712,627.298523
EWKWPlus2Jets,4354695.000000,25.620000,10380.250000,0.061070,4354695.000000,4347862.000000,933383.000000,818212.375000,26474.736328,3996.316895,3996.316895,3945.265137,3486.326904,2458.745850,719.450562,480.759491
EWKZ2Jets_ZToLL,951316.000000,3.987000,10380.250000,0.043504,951316.000000,949653.000000,306615.000000,289900.218750,10468.339844,1300.080566,1300.080566,1274.429199,1110.984863,529.645203,240.756958,152.998138
EWKZ2Jets_ZToNuNu,2943056.000000,10.010000,10380.250000,0.035306,2943056.000000,2939465.000000,484.000000,141.075134,2.000000,0.202950,0.202950,0.202950,0.202950,0.202950,0.202950,0.202950
GluGluHToTauTau,2862720.000000,2.767578,10380.250000,0.010035,2862720.000000,2859674.000000,195833.000000,154568.156250,13814.050781,2942.569092,2942.569092,2865.372070,2668.796143,737.648193,73.022064,69.825310
ST_t-channel_antitop,3939990.000000,25.499250,10380.250000,0.067180,3939990.000000,3936452.000000,249717.000000,214762.359375,6174.547852,929.985535,929.985535,913.134827,270.679657,193.318176,48.988064,39.050343
ST_t-channel_top,5796010.000000,42.846300,10380.250000,0.076735,5796010.000000,5790561.000000,353028.000000,302899.218750,7777.501465,1104.444336,1104.444336,1083.321045,313.909058,226.549362,55.722157,43.573360
