Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
data_obs,58984976.000000,1.000000,3380.500000,1.000000,58984976.000000,58904576.000000,41576540.000000,26489236.000000,34454.000000,24598.000000,24598.000000,24421.000000,21280.000000,2463.000000,1903.000000,220.000000
DY_LO,48281216.000000,5765.400000,3380.500000,0.403675,48281216.000000,48240400.000000,9753126.000000,8727205.000000,23032.000000,16639.636719,16639.636719,16566.830078,15910.049805,1329.524292,1185.074707,166.291092
DY_LO,49082156.000000,5765.400000,3380.500000,0.397088,49082156.000000,49038832.000000,9918775.000000,8876278.000000,23029.000000,16681.847656,16681.847656,16591.326172,15942.026367,1261.695923,1123.896362,177.122375
TTTo2L2Nu,8634992.000000,88.290000,3380.500000,0.034565,8634992.000000,8625480.000000,3177574.000000,2863761.000000,71816.000000,58157.132812,58157.132812,56501.914062,9978.683594,4477.547852,2830.583740,648.619568
TTToHadronic,42357944.000000,377.960000,3380.500000,0.030164,42357944.000000,42296216.000000,59274.000000,13502.000000,105.000000,44.346001,44.346001,44.346001,7.647612,1.704396,1.704396,0.000000
TTToSemiLeptonic,40888764.000000,365.350000,3380.500000,0.030206,40888764.000000,40836304.000000,8293577.000000,7292744.000000,39293.000000,23605.023438,23605.023438,23314.386719,3928.945068,1691.589600,1281.828491,166.569031
ZTT1,34833032.000000,1012.500000,3380.500000,0.098262,34833032.000000,34804832.000000,8376501.000000,7743240.000000,25827.000000,17103.464844,17103.464844,17007.093750,16224.384766,1227.127808,1139.569214,121.855721
ZTT2,9691457.000000,332.800000,3380.500000,0.116085,9691457.000000,9682264.000000,2447029.000000,2287712.000000,10574.000000,6622.778809,6622.778809,6565.470215,6042.188965,1396.906494,1269.809937,131.383682
ZTT3,1147725.000000,101.800000,3380.500000,0.299841,1147725.000000,1146359.000000,297138.000000,279635.000000,1477.000000,934.013855,934.013855,928.071594,832.428345,327.112640,296.510834,55.628426
ZTT4,4336026.000000,54.800000,3380.500000,0.042724,4336026.000000,4327771.000000,1214709.000000,1148504.000000,6176.000000,3848.716553,3848.716553,3823.066895,3209.512451,1750.843628,1517.234009,316.772064
ZTT,57696292.000000,4954.000000,3380.500000,0.290261,57696292.000000,57644604.000000,11537950.000000,10351882.000000,28974.000000,20562.613281,20562.613281,20471.669922,19654.048828,1711.222534,1510.306641,196.521866
ZTT,58629464.000000,4954.000000,3380.500000,0.285641,58629464.000000,58575952.000000,11730929.000000,10525653.000000,29309.000000,20797.542969,20797.542969,20693.128906,19948.296875,1762.586548,1553.154663,185.212570
ZTT,7192473.000000,4954.000000,3380.500000,2.328406,7192473.000000,7185506.000000,1438117.000000,1289866.000000,3648.000000,2617.282471,2617.282471,2603.476807,2501.075439,208.915543,200.167618,25.802879
EWKWMinus2Jets,4375628.000000,20.250000,3380.500000,0.015645,4375628.000000,4369211.000000,992317.000000,886362.000000,3267.000000,2010.143677,2010.143677,2001.650024,1836.819214,553.479980,365.786255,34.219437
EWKWPlus2Jets,4354695.000000,25.620000,3380.500000,0.019889,4354695.000000,4347862.000000,933383.000000,829225.000000,2822.000000,1657.179077,1657.179077,1646.983276,1493.272949,428.397858,282.899902,21.395159
EWKZ2Jets_ZToLL,951316.000000,3.987000,3380.500000,0.014168,951316.000000,949653.000000,306615.000000,293220.000000,2145.000000,1368.990967,1368.990967,1358.950928,1210.586304,571.265381,506.260803,115.960182
EWKZ2Jets_ZToNuNu,2943056.000000,10.010000,3380.500000,0.011498,2943056.000000,2939465.000000,484.000000,124.000000,2.000000,1.729880,1.729880,1.729880,0.875710,0.000000,0.000000,0.000000
GluGluHToTauTau,2862720.000000,2.767578,3380.500000,0.003268,2862720.000000,2859674.000000,195833.000000,153757.000000,13405.000000,11366.976562,11366.976562,11320.095703,10870.401367,1317.652832,1311.673706,329.611969
ST_t-channel_antitop,3939990.000000,25.499250,3380.500000,0.021878,3939990.000000,3936452.000000,249717.000000,216586.000000,610.000000,346.926178,346.926178,344.344513,100.930344,27.395485,20.498198,1.697999
ST_t-channel_top,5796010.000000,42.846300,3380.500000,0.024990,5796010.000000,5790561.000000,353028.000000,305817.000000,734.000000,383.270111,383.270111,381.538940,134.037857,25.598370,21.235466,0.818322
ST_tW_antitop,7721566.000000,35.600000,3380.500000,0.015586,7721566.000000,7710690.000000,1044328.000000,939137.000000,11369.000000,8631.800781,8631.800781,8482.541992,2799.722656,1216.194214,788.131531,138.165161
ST_tW_top,7523294.000000,35.600000,3380.500000,0.015996,7523294.000000,7512649.000000,1019543.000000,917635.000000,11006.000000,8422.870117,8422.870117,8264.137695,2743.204102,1191.083374,745.032898,127.948029
TTJets,24686754.000000,831.760000,3380.500000,0.113898,24686754.000000,24652878.000000,3256542.000000,2876357.000000,33898.000000,25132.783203,25132.783203,24511.728516,4269.254883,1976.306641,1288.503052,268.997375
TTJets,24918264.000000,831.760000,3380.500000,0.112840,24918264.000000,24884676.000000,3291805.000000,2907752.000000,34077.000000,25310.115234,25310.115234,24589.919922,4298.704590,1969.404663,1302.832886,225.067352
TTJets,7674104.000000,831.760000,3380.500000,0.366396,7674104.000000,7663805.000000,1011821.000000,893509.000000,10528.000000,7809.105469,7809.105469,7628.947754,1374.718994,645.912964,439.998047,81.963074
VBFHToTauTau,2971508.000000,0.237131,3380.500000,0.000270,2971508.000000,2965823.000000,266723.000000,221491.000000,18615.000000,15640.491211,15640.491211,15509.935547,14495.264648,6107.404297,6079.858398,1604.383789
WJetsToLNu,44587448.000000,50380.000000,3380.500000,3.819676,44587448.000000,42986692.000000,5478655.000000,4457734.000000,2629.000000,1591.842407,1591.842407,1587.595703,1549.378906,68.932762,58.748096,2.542246
WJetsToLNu_HT100To200,35737472.000000,1345.000000,3380.500000,0.127227,35737472.000000,35705832.000000,6075775.000000,5453804.000000,14901.000000,9716.674805,9716.674805,9668.933594,9104.352539,2942.185547,2238.499756,67.756546
