Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
data_obs,739815296.000000,1.000000,41521.000000,1.000000,739815296.000000,738897664.000000,479948384.000000,340692640.000000,454030.281250,453836.281250,446628.062500,391429.875000,253395.281250,35751.398438,25989.166016,1847.688110
DY_LO,48281216.000000,5765.400000,41521.000000,4.958143,48281216.000000,48240400.000000,9753126.000000,8817344.000000,9836.480469,9835.539062,9673.941406,9040.564453,3963.872559,684.668030,496.601593,12.503186
DY_LO,49082156.000000,5765.400000,41521.000000,4.877234,49082156.000000,49038832.000000,9918775.000000,8967757.000000,10032.548828,10031.742188,9866.713867,9215.080078,4046.772461,686.877258,499.042755,12.890845
TTTo2L2Nu,8634992.000000,88.290000,41521.000000,0.424539,8634992.000000,8625480.000000,3177574.000000,2889619.000000,26092.767578,26092.314453,19706.306641,3367.968262,2590.989746,1254.631836,837.618896,225.564560
TTToHadronic,42357944.000000,377.960000,41521.000000,0.370492,42357944.000000,42296216.000000,59274.000000,18850.000000,165.356369,164.706894,161.326508,27.795225,7.948881,3.996536,3.996536,0.166654
TTToSemiLeptonic,40888764.000000,365.350000,41521.000000,0.370999,40888764.000000,40836304.000000,8293577.000000,7362218.000000,63247.812500,63246.000000,62078.871094,10122.656250,6643.979004,2993.864502,2263.678223,315.000671
ZTTinc,49082156.000000,5765.400000,41521.000000,4.877000,49082156.000000,49038832.000000,9918775.000000,8967757.000000,10032.548828,10031.742188,9866.713867,9215.080078,4046.772461,686.877258,499.042755,12.890845
ZTT1jet,34833032.000000,1178.334174,41521.000000,1.090000,34833032.000000,34804832.000000,8376501.000000,7813039.000000,14272.167969,14272.167969,14063.933594,13341.725586,5960.378906,419.633911,321.929993,10.301042
ZTT2jet,9691457.000000,387.308260,41521.000000,1.230000,9691457.000000,9682264.000000,2447029.000000,2304548.000000,6802.163574,6801.702148,6688.035156,6170.258789,2973.077393,756.890259,560.011108,10.417074
ZTT3jet,1147725.000000,118.473500,41521.000000,2.280000,1147725.000000,1146359.000000,297138.000000,281515.000000,1026.274292,1026.274292,1010.388306,890.721680,439.967529,181.441284,123.442612,2.911601
ZTT4jet,4336026.000000,63.775519,41521.000000,0.540000,4336026.000000,4327771.000000,1214709.000000,1155626.000000,4568.931641,4568.764160,4484.361328,3735.854248,1981.269897,1133.414917,719.425842,24.859512
EWKWMinus2Jets,4375628.000000,20.250000,41521.000000,0.192155,4375628.000000,4369211.000000,992317.000000,895755.000000,4732.539551,4732.539551,4679.654785,4204.350098,2997.698242,919.889160,613.753662,46.806438
EWKWPlus2Jets,4354695.000000,25.620000,41521.000000,0.244281,4354695.000000,4347862.000000,933383.000000,838140.000000,3904.122559,3904.122559,3853.545654,3402.732910,2398.605225,705.553284,468.753174,37.934338
EWKZ2Jets_ZToLL,951316.000000,3.987000,41521.000000,0.174016,951316.000000,949653.000000,306615.000000,295030.000000,1267.523560,1267.523560,1242.508667,1083.652710,518.592407,236.504730,147.496475,4.914314
EWKZ2Jets_ZToNuNu,2943056.000000,10.010000,41521.000000,0.141222,2943056.000000,2939465.000000,484.000000,162.000000,0.194780,0.194780,0.194780,0.194780,0.194780,0.194780,0.194780,0.194780
GluGluHToTauTau,2862720.000000,2.767578,41521.000000,0.040141,2862720.000000,2859674.000000,195833.000000,158667.000000,2876.235107,2876.079590,2799.593262,2608.685791,724.182861,72.567673,68.912674,11.463039
ST_t-channel_antitop,3939990.000000,25.499250,41521.000000,0.268720,3939990.000000,3936452.000000,249717.000000,219195.000000,908.464172,908.464172,890.660583,266.020569,190.341492,48.563091,38.758598,2.780253
ST_t-channel_top,5796010.000000,42.846300,41521.000000,0.306939,5796010.000000,5790561.000000,353028.000000,309693.000000,1081.723267,1081.723267,1060.935303,310.871979,222.477814,54.840614,42.960258,5.140799
ST_tW_antitop,7721566.000000,35.600000,41521.000000,0.191431,7721566.000000,7710690.000000,1044328.000000,948183.000000,7520.621582,7520.621582,6928.750977,2156.422852,1504.361450,655.576721,461.846649,63.414696
ST_tW_top,7523294.000000,35.600000,41521.000000,0.196476,7523294.000000,7512649.000000,1019543.000000,926438.000000,7287.248047,7286.992676,6718.676270,2080.508789,1456.773682,656.895630,451.140564,64.514290
VBFHToTauTau,2971508.000000,0.237131,41521.000000,0.003313,2971508.000000,2965823.000000,266723.000000,229554.000000,3851.361084,3851.181885,3698.329346,3362.026367,803.045044,294.461365,277.470673,48.830883
WWTo2L2Nu,15934.000000,12.178000,41521.000000,31.733572,15934.000000,15915.000000,4744.000000,4225.000000,30.284731,30.284731,23.925104,22.307344,17.641951,4.740671,2.033303,0.182524
WWToLNuQQ,9956583.000000,10.710000,41521.000000,0.044663,9956583.000000,9946013.000000,1673019.000000,1483877.000000,9984.029297,9983.849609,9881.540039,9115.198242,6597.884277,1775.551758,1318.153687,107.053581
WWW,210490.000000,0.208600,41521.000000,0.041148,210490.000000,209914.000000,37488.000000,34184.000000,293.262939,293.262939,246.543472,218.805573,154.756897,74.974052,47.978428,8.868405
WWZ,221622.000000,0.165100,41521.000000,0.030932,221622.000000,220847.000000,35415.000000,32775.000000,276.140839,276.140839,234.757172,191.234940,135.855560,80.273216,49.541786,15.722455
WZTo1L1Nu2Q,11263154.000000,10.710000,41521.000000,0.039482,11263154.000000,11248929.000000,1922137.000000,1709963.000000,7918.039062,7917.861816,7817.322754,6283.734375,4410.599121,1521.826660,1056.714355,115.125443
WZTo2L2Q,16664610.000000,5.595000,41521.000000,0.013940,16664610.000000,16643809.000000,2778619.000000,2608783.000000,13022.700195,13020.952148,12775.590820,11419.593750,5785.780762,2639.756104,1732.925781,50.295971
WZTo3LNu,6820606.000000,4.430000,41521.000000,0.026968,6820606.000000,6813277.000000,1413645.000000,1267459.000000,5369.434570,5369.102539,3980.826660,3682.892090,2689.208740,1092.952026,653.713928,135.294144
WZZ,219660.000000,0.055650,41521.000000,0.010519,219660.000000,218984.000000,26595.000000,24719.000000,157.186050,157.186050,136.429611,107.984375,74.040062,47.866871,28.170801,7.279126
WMinusHToTauTau,3442926.000000,0.033400,41521.000000,0.000403,3442926.000000,3436685.000000,481599.000000,425560.000000,7727.902832,7727.902832,6670.274414,5966.810547,3007.323486,1176.985718,873.448120,158.105667
WPlusHToTauTau,3777578.000000,0.052000,41521.000000,0.000572,3777578.000000,3770072.000000,524111.000000,463761.000000,8110.448730,8109.919434,7005.729980,6260.369629,3098.065674,1271.397095,927.382751,175.444199
ZHToTauTau,4652054.000000,0.055427,41521.000000,0.000495,4652054.000000,4643296.000000,506100.000000,446017.000000,8080.892090,8080.273438,7251.947754,5887.361816,2779.361816,1229.762695,971.153198,273.787933
ZJetsToNuNu_HT100To200,22702468.000000,280.920000,41521.000000,0.513780,22702468.000000,22686184.000000,2407.000000,743.000000,1.012154,1.012154,0.857340,0.296743,0.296743,0.000000,0.000000,0.000000
ZJetsToNuNu_HT1200To2500,334332.000000,0.287400,41521.000000,0.035692,334332.000000,323647.000000,213.000000,29.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT200To400,21618510.000000,77.640000,41521.000000,0.149117,21618510.000000,21592994.000000,3849.000000,1091.000000,1.491754,1.491754,1.354256,0.346834,0.346834,0.161362,0.000000,0.000000
ZJetsToNuNu_HT2500ToInf,6446.000000,0.006933,41521.000000,0.044658,6446.000000,5906.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT400To600,9094890.000000,10.671000,41521.000000,0.048716,9094890.000000,9066725.000000,2431.000000,542.000000,1.454564,1.454564,1.237043,0.503100,0.334154,0.334154,0.334154,0.334154
ZJetsToNuNu_HT600To800,5664642.000000,2.561100,41521.000000,0.018772,5664642.000000,5627442.000000,1956.000000,367.000000,0.860803,0.860803,0.860803,0.453611,0.453611,0.228359,0.000000,0.000000
ZJetsToNuNu_HT800To1200,2041779.000000,1.177800,41521.000000,0.023951,2041779.000000,2014718.000000,886.000000,133.000000,0.319440,0.319440,0.319440,0.319440,0.319440,0.000000,0.000000,0.000000
ZZTo2L2Q,17768294.000000,3.220000,41521.000000,0.007525,17768294.000000,17747844.000000,3293444.000000,3098863.000000,15034.451172,15033.720703,14737.848633,11865.724609,6037.325684,2531.168945,1809.860718,35.389462
ZZTo4L,86103680.000000,1.212000,41521.000000,0.000584,86103680.000000,86029168.000000,14804674.000000,13242210.000000,47921.988281,47918.593750,34398.839844,31638.154297,18896.369141,6776.866699,4138.309082,269.188599
ZZTo4L,10994317.000000,1.212000,41521.000000,0.004577,10994317.000000,10984736.000000,1888166.000000,1688644.000000,6131.160156,6131.032227,4400.129883,4060.208252,2419.525635,882.118896,541.749146,30.936125
ZZZ,213514.000000,0.013980,41521.000000,0.002719,213514.000000,213085.000000,19404.000000,18532.000000,133.860291,133.860291,118.012947,78.883858,51.979607,33.492802,20.634506,4.226322
VBFHToWWTo2L2Nu,499278.000000,0.085800,41521.000000,0.007135,499278.000000,498740.000000,123059.000000,107243.000000,563.269226,563.109985,430.185242,390.412231,233.331116,110.862389,99.955772,14.148369
WWTo2L2Nu_DoubleScattering,968000.000000,1.620000,41521.000000,0.069488,968000.000000,967414.000000,216744.000000,183028.000000,509.603149,509.603149,394.959625,374.528687,286.951874,44.531422,33.288559,3.905456
WZTo1L3Nu,2681223.000000,3.050000,41521.000000,0.047232,2681223.000000,2678565.000000,468519.000000,418666.000000,637.458679,637.458679,629.949280,597.487976,482.210663,220.066269,139.319962,57.815678
WpWpJJ_EWK,144938.000000,0.026150,41521.000000,0.007491,144938.000000,144433.000000,57028.000000,53247.000000,164.112839,164.112839,112.553177,101.972092,75.998428,49.729156,21.909237,6.513876
WpWpJJ_QCD,149484.000000,0.026150,41521.000000,0.007263,149484.000000,148856.000000,48867.000000,44713.000000,222.635818,222.635818,164.819473,145.545807,109.476433,66.924950,38.502083,12.941817
ZZTo2Q2Nu,36986756.000000,4.030000,41521.000000,0.004524,36986756.000000,36955536.000000,8478.000000,2812.000000,5.229560,5.229560,5.398946,2.942686,1.734711,0.832260,0.832260,0.137178
ZZTo2Q2Nu,2251465.000000,4.030000,41521.000000,0.074320,2251465.000000,2249497.000000,553.000000,187.000000,0.711026,0.711026,0.711026,0.331954,0.173723,0.000000,0.000000,0.000000
