Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
data_obs,237646048.000000,1.000000,41521.000000,1.000000,237646048.000000,236652384.000000,140654400.000000,2268690.000000,197350.000000,30935.000000,30935.000000,30795.000000,29090.000000,4471.000000,2443.000000,83.000000
DY_LO,48632632.000000,5765.400000,41521.000000,4.922316,48632632.000000,48591552.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DY_LO,49082156.000000,5765.400000,41521.000000,4.877234,49082156.000000,49038832.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TTTo2L2Nu,8634992.000000,88.290000,41521.000000,0.424539,8634992.000000,8625480.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TTToHadronic,42357944.000000,377.960000,41521.000000,0.370492,42357944.000000,42296216.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TTToSemiLeptonic,40888764.000000,365.350000,41521.000000,0.370999,40888764.000000,40836304.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZTTinc,48632632.000000,5765.400000,41521.000000,4.877000,48632632.000000,48591552.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZTTinc,49082156.000000,5765.400000,41521.000000,4.877000,49082156.000000,49038832.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZTT1jet,34833032.000000,1178.334174,41521.000000,1.090000,34833032.000000,34804832.000000,1499637.000000,7104.000000,613.877502,374.663300,374.663300,368.326508,344.563507,129.904404,114.854500,3.168400
ZTT2jet,9691457.000000,387.308260,41521.000000,1.230000,9691457.000000,9682264.000000,477880.000000,4255.000000,355.652893,235.253693,235.253693,229.709000,202.777603,135.449097,119.607101,5.544700
ZTT3jet,1147725.000000,118.473500,41521.000000,2.280000,1147725.000000,1146359.000000,62618.000000,916.000000,75.249496,56.239101,56.239101,56.239101,48.318100,37.228699,34.852402,0.792100
ZTT4jet,4269333.000000,63.775519,41521.000000,0.540000,4269333.000000,4261199.000000,274417.000000,4351.000000,300.205902,244.758896,244.758896,240.006302,184.559296,167.133102,156.835800,15.842000
EWKWMinus2Jets,4325559.000000,20.250000,41521.000000,0.194380,4325559.000000,4319212.000000,52137.000000,1660.000000,72.081100,30.099800,30.099800,30.099800,27.723499,8.713100,2.376300,0.000000
EWKWPlus2Jets,4354695.000000,25.620000,41521.000000,0.244281,4354695.000000,4347862.000000,50180.000000,1465.000000,41.981300,15.049900,15.049900,15.049900,11.881500,2.376300,0.792100,0.792100
EWKZ2Jets_ZToLL,951316.000000,3.987000,41521.000000,0.174016,951316.000000,949653.000000,87942.000000,1499.000000,110.893997,82.378403,82.378403,81.586304,68.912697,57.031200,48.318100,2.376300
